0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-6.593861684332161,-7.3624942654172525,-7.227934125416182,-7.14346050403852,-6.564981029246283,-5.667631954261427,-5.2001262064858285,-4.8985305030925,-4.583331147380562,-4.296792740802851,-4.152713947428126,-4.121931625663144,-4.198041215565846,-4.428226194789536,-4.621580918428282,-5.162318190517308,-6.089069061830822,-4.308615780634771,-2.850048826216477,-2.2455915290193134,-2.4613985237013187,-2.9800240317137154,-3.1498472427903788,-2.9034373477407316
-5.739417799342551,-6.272602911150322,-6.161590962169683,-6.09008426958264,-5.587659076010063,-4.717031790798521,-4.234946513190734,-3.907253988325778,-3.592196662839149,-3.401907692928702,-3.5239157607839453,-3.82536968645346,-4.062457893902279,-4.306740527915057,-4.5148959410473015,-4.956939571016079,-5.3174794343898135,-3.533853799328729,-2.301558268639689,-1.7427725663697915,-1.8878229488088463,-2.3500206441674774,-2.562047409823908,-2.372956570628224
-8.022497103308776,-7.853913280080381,-7.83825480897047,-7.853102888979237,-7.63512533283588,-7.082930384168067,-6.7401176997669605,-6.5437797896543834,-6.33858198943733,-5.909311527882787,-4.958167236127084,-4.193342242196682,-3.8485041459839335,-3.7904033520803897,-3.84540711187384,-5.231026445475537,-6.453626794026315,-5.609674040025002,-4.41848432348233,-3.984503817778277,-4.138229784259689,-4.533572051729742,-4.6534905269735605,-4.417046822154504
-5.952708624224947,-7.088335514235835,-7.015683864161659,-6.909301767061953,-6.314337525536219,-5.33588653328828,-4.838054307214863,-4.481102089528209,-4.162014135371444,-4.07292895616941,-4.209825076991239,-4.389674563846903,-4.623896707898272,-4.924188401833164,-4.958874362753349,-5.178758222177665,-5.94989197162872,-4.093315491558069,-2.594775777500276,-2.010205446621479,-2.2153493814891716,-2.669188023791391,-2.9010401179755982,-2.6447176627258706
-4.223037761265482,-5.57561928114661,-5.5197185839593494,-5.387436725064134,-4.916243663116637,-4.003476726984989,-3.501474717003586,-3.0839491913861283,-2.8179516226745323,-2.9958175179220614,-3.573859212338759,-4.2542596369719945,-4.78807834155497,-5.121113564879137,-5.057805851083377,-4.914808753205014,-4.967217335982628,-3.270269092405524,-1.9008068903519464,-1.3803021662751367,-1.4624148522387252,-1.7128499701514381,-1.9810111256535006,-1.7671595289118356
-2.7667500840256816,-2.0209129536674673,-2.0442441980359813,-2.0346894184007676,-2.040245237189556,-1.8712615333950287,-1.5887392570401653,-1.415399537418476,-1.3017402746449207,-1.1863315727523847,-1.2193225674473662,-2.236016271591031,-3.252806212035636,-3.574175777025537,-3.578340203089858,-3.3442705704559494,-1.9298242321796244,-1.5907043890631118,-1.41554157557606,-1.2710704801699495,-1.030551058474894,-0.8437412852704763,-0.8675000646290647,-0.8540071392674421
-6.102131474887043,-6.474748276876776,-6.461408815230394,-6.405030186076001,-6.132754904802049,-5.26230157794363,-4.816862243488366,-4.554182045456903,-4.3354814445266285,-4.255589688408067,-4.529040836923501,-4.995408128756869,-5.370563190477277,-5.663722992104363,-5.6964458617726095,-5.586767395194158,-5.882130556641842,-4.008247119463546,-2.8500543887044483,-2.388410374841018,-2.5284257454228927,-2.9983903919713764,-3.1137827593442435,-2.8486656430233928
-8.427820570112479,-8.232089835596108,-8.143436976393533,-8.121722935445575,-7.624515930713814,-6.723543387552805,-6.239216914630047,-6.027099379569606,-5.898661038493225,-5.614546214680054,-4.940198017868942,-4.460933379558234,-4.330009606143998,-4.4251333610099595,-4.509152492867692,-5.777199676417032,-6.537689830347018,-4.897302218720113,-3.773706128414533,-3.4360816430712613,-3.690776970363114,-4.130227269778217,-4.182139005252666,-3.943727734183392
-7.290784497849712,-7.716493698898418,-7.6697991268237775,-7.592486523641247,-7.046155452470918,-6.065188828911996,-5.582323395634342,-5.352281732117694,-5.189130466787741,-4.954488369484123,-4.762203049334385,-4.728270467741606,-4.844717457977617,-5.0690348038388295,-5.132614044961356,-5.663576687230682,-6.357500263819004,-4.420578340545839,-3.2348281797219665,-2.87754615292096,-3.169311104776785,-3.6821410557131453,-3.723367147465635,-3.450236614959299
-4.47703084743725,-4.333015634626905,-4.227251361346232,-4.189426861176823,-3.953196912713921,-3.5433169960773463,-3.2831292340575855,-3.1565630307333254,-3.0541833242672194,-2.8815990664240863,-2.9215145862146112,-3.63463830073382,-4.175341797770965,-4.510810950977845,-4.697901562627091,-4.273263383720366,-3.79338783112005,-2.9831699174628263,-2.3791250027605924,-2.174560815801113,-2.1522330633726563,-2.207798054917426,-2.188042183712714,-2.0630313626837316
-5.379484019419881,-5.341391673946157,-5.221869302127191,-5.196208470513635,-5.150636777855572,-4.679109768776314,-4.344908154253101,-4.1694635779205225,-4.021020829391899,-3.8155050009897606,-3.841394541329414,-4.295904565463136,-4.601692918772676,-4.849735622643257,-5.0105193702190975,-5.07971019142535,-5.08228174351218,-3.752322229536446,-2.904924238134316,-2.591261872039971,-2.700290410516379,-2.9318514528226967,-2.9129629738371228,-2.7397406133209627
-5.131781956446126,-5.607791823071512,-5.609676121740206,-5.57877052918834,-5.398865328137921,-4.570266227105698,-4.128267801643494,-3.8497409001217626,-3.636537284454421,-3.669176880002597,-4.135174913034449,-4.854493016409622,-5.401437797635941,-5.6989761506723315,-5.673130959876758,-5.306990312360938,-5.308866432549523,-3.6498817675172694,-2.58179708252433,-2.098599921077271,-2.137882577764624,-2.515404007714481,-2.6807834437130897,-2.4607219835459344
