0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-2.018419951994051,-2.4380521869595144,-2.4925766284942767,-2.463527901818167,-2.450894028231878,-2.4545153769066608,-2.462164920264889,-2.4688112830962643,-2.4761458765781397,-2.481167040875598,-2.4849037989802465,-2.4875409260432035,-2.4902161883093767,-2.4912115341963217,-2.4922089561298715,-2.4927001321333053,-2.492997791697526,-2.493216763211074,-2.49370521476525,-2.494035533001459
-2.2364325759397876,-2.5756107454827113,-2.5326660588934224,-2.498712932858404,-2.4858659598675823,-2.488575968633003,-2.4950372181094638,-2.5005636240625106,-2.506640170753703,-2.510604498153375,-2.5133999539882845,-2.5151666152665566,-2.516961903062467,-2.517270675434478,-2.5175025401283437,-2.5173252360608185,-2.516968861944681,-2.51655191119002,-2.516387917626095,-2.5160694161836332
-2.1341456844081943,-2.5541650774823035,-2.5576466317673825,-2.5346189751853947,-2.5252063629256707,-2.5281516880035597,-2.5336301918484816,-2.5378061741374323,-2.5423762833795323,-2.5448531689253873,-2.5462455530759733,-2.5466666333079804,-2.5472659854055353,-2.54649796768133,-2.5456973715166953,-2.5445757346811835,-2.5433534383705165,-2.5421564662113063,-2.5413089420045436,-2.540392452336891
-2.049176112886567,-2.407615139353187,-2.4554042745226425,-2.4222189548997255,-2.408047888223825,-2.411383104033611,-2.4191109709003396,-2.4258697332875876,-2.4333410775752107,-2.4384351043222274,-2.4421895497980834,-2.444807770727353,-2.4474441403536407,-2.4483531457487313,-2.4492718898174046,-2.4496765285547766,-2.449885869794934,-2.4500171397410715,-2.450430245212231,-2.4506846015622363
-2.0738816357963943,-2.4012316628102655,-2.41851169593152,-2.378628812569027,-2.362239519753679,-2.3651698662120744,-2.3731330471310876,-2.3803005679619527,-2.3883070550556735,-2.393934340015326,-2.3981911392546733,-2.4012917957433118,-2.404363687950479,-2.405657893073853,-2.406948891450477,-2.4076978869299817,-2.408230909479787,-2.408657571467412,-2.4093285159260445,-2.4098048085684463
-2.6887034698944214,-2.889146744993571,-2.49371913676623,-2.364015665506188,-2.323669586573556,-2.3184817074849895,-2.323927577252854,-2.3308965236697774,-2.3393648307545,-2.3463849334789555,-2.3523627157191465,-2.357313315490992,-2.3617199273372416,-2.3648551571177583,-2.3673856650825034,-2.3696487683885255,-2.3714804511492025,-2.372987084129843,-2.3742199008811875,-2.3749209083040963
-2.8327394878831935,-2.705937902435563,-2.5191278824406997,-2.460628492878203,-2.440306171883847,-2.4394174343729036,-2.443478106893647,-2.4471149233160587,-2.45165644287432,-2.454347668715633,-2.4560112417970075,-2.456760798796143,-2.4575426135230596,-2.4569944165981497,-2.4563534786893912,-2.455482649448072,-2.454444601960377,-2.453367144220101,-2.4525142420073482,-2.451483031283497
-2.85298886767326,-2.842026372705485,-2.6541798413613984,-2.6074911331999706,-2.592121790612909,-2.5919916979981563,-2.595490663523508,-2.598386567706525,-2.601905621370837,-2.603779214479082,-2.6047760700730764,-2.6049537750687106,-2.6051876339391793,-2.604311596527065,-2.6032829977141105,-2.602073995820228,-2.6007164307110555,-2.599339154006027,-2.5981765731777555,-2.596877518760575
-2.8612498196709977,-2.7949264790113775,-2.6125987285951977,-2.5620279613085266,-2.5447764117026015,-2.544346497558693,-2.5480705519156057,-2.551265450717108,-2.5551919928154696,-2.5573952014220804,-2.558659953263491,-2.5590672709537055,-2.559520744526723,-2.5587761083396847,-2.5579035023670116,-2.5568237418813977,-2.555591552603561,-2.554332529485446,-2.5532926755444834,-2.552100732107502
-2.9820479552494588,-3.2929946906664327,-2.887760098660239,-2.7555827481153345,-2.7147064025602603,-2.708138009254438,-2.7124669332019575,-2.7188875277752613,-2.7268897873385276,-2.7339578347953664,-2.7402101581191527,-2.7455623808415295,-2.750214128003657,-2.753864957274777,-2.7566952125585953,-2.7592650010505686,-2.761333406349353,-2.76299217930464,-2.764195033969573,-2.7647966534558224
-2.8800523754748584,-2.971403962330257,-2.601660331582795,-2.4934576976138283,-2.459107848034037,-2.4549838636971266,-2.459769271130379,-2.465515413194801,-2.4726674403042734,-2.4783046944158693,-2.482931310456877,-2.486596765197782,-2.4898942674268767,-2.491919046629739,-2.49350470369677,-2.4948161819292913,-2.4957803267402863,-2.496500718208266,-2.497083750125845,-2.4972445406205486
-2.9715341672400433,-2.9160885885951506,-2.6741730665909937,-2.614101951388708,-2.594465607265798,-2.593124827702563,-2.5965965562428446,-2.599915143218019,-2.604104224590328,-2.6067610110681603,-2.6085459867409293,-2.6095163666905776,-2.6104339828775505,-2.6102126244569925,-2.609784621171703,-2.6091535993074393,-2.6083158962144237,-2.6073927386615896,-2.606585389389142,-2.60556100532812
-2.884478438426645,-2.7701500616418517,-2.4910944115762836,-2.4156313146590156,-2.3913490091451837,-2.3894194718140556,-2.393385690805961,-2.397283478899658,-2.402225312006225,-2.405448475636727,-2.407695929555265,-2.409057133158253,-2.4103552917316096,-2.4103840036701505,-2.4102327394755356,-2.409890832244727,-2.409331900290182,-2.4086865048729926,-2.4081657258866285,-2.40739978906105
-2.830939828452774,-2.863511321821127,-2.491763440535338,-2.3791435505251615,-2.3433730903724577,-2.339298745339521,-2.344490661276418,-2.3506130258364353,-2.3581796590208413,-2.3641043367189614,-2.3689430915589487,-2.37277090562014,-2.3762353104302196,-2.3783313995360693,-2.38002025996214,-2.381419670651363,-2.382473792346543,-2.383288366523692,-2.383987226063402,-2.384256328180806
-2.2182950915559614,-2.5725975727321675,-2.560518312940836,-2.5291711686563936,-2.516945512544265,-2.520072989300253,-2.5269708659191537,-2.5329616278568396,-2.539542367797048,-2.544012388867581,-2.5473038969938706,-2.5495780844834908,-2.5518462271813984,-2.5525999903135235,-2.553304001898108,-2.5535708853071073,-2.553634028624674,-2.5536099942754724,-2.553809440043418,-2.5538448146394748
-1.8341132949926102,-2.389917096287812,-2.4719532365999797,-2.4457321193043313,-2.4333633921552806,-2.4365652226008363,-2.443454538320332,-2.4491674467433358,-2.455601999893541,-2.459672038065817,-2.462476473273571,-2.464186417150562,-2.4660468839559533,-2.466247411339336,-2.466484978321012,-2.4662723182642763,-2.4659164139277454,-2.465540696338719,-2.4655091674900733,-2.465370676138022
-2.5075135210259587,-2.206815705090313,-2.005164882714375,-1.9262063513861853,-1.8990604872198649,-1.8977189918078519,-1.9031657991022808,-1.9083545486805435,-1.9148610389689966,-1.919237546410831,-1.9224102018516402,-1.92459922977041,-1.9268011896569006,-1.9273924223429886,-1.9280385545299337,-1.928401455669705,-1.9285902030859299,-1.9287147671364295,-1.9290374066862963,-1.929115402912049
-2.7510454029753273,-2.7750698990360574,-2.5044122781101485,-2.419974134433163,-2.391133141658007,-2.3887245121562075,-2.3938001427059046,-2.3991626338533467,-2.40576925876388,-2.4105386869091507,-2.4141823009009045,-2.416824296494964,-2.419296793344712,-2.4203571923814335,-2.4212071737875194,-2.4217564571707033,-2.4220559297881907,-2.422211217258567,-2.422424131298081,-2.422345733749138
