0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
7.579327812294502e-07,3.047212679968157e-07,5.371336339457e-07,4.960129608283829e-07,7.920076459425475e-07,1.1192725624449877e-06,1.8700372012462977e-06,1.772617477259958e-06,1.3706600684499592e-06,1.2790733845601206e-06,1.3978080965648519e-06,1.96009653127383e-06,2.9565432117300705e-06,4.048643141896605e-06,5.015647991914622e-06,5.225760272617647e-06,5.103967912832909e-06,5.9249317203933575e-06,6.663332934992456e-06,6.2237861835377795e-06,6.6052941885629506e-06,7.77223607321289e-06,9.74404142369037e-06,1.0832688959501417e-05,1.1059159950408177e-05,9.894962527081568e-06,8.397489251356817e-06,7.019710506196399e-06,6.668668934070672e-06,6.783549331171277e-06,7.354613069816994e-06,7.847641856572276e-06,9.131329082162465e-06,9.609053195041104e-06,1.1718088064764277e-05,1.266071361624569e-05,1.3235990270548155e-05,1.0273314280359275e-05,5.502399070637215e-06,5.086432997438267e-06
3.6075608609366736e-05,5.662204753127633e-06,5.85071133947737e-06,6.9570585365799315e-06,1.999849974442179e-05,2.7592151257347294e-05,4.613977252350104e-05,4.3719275962122056e-05,3.426900349746752e-05,3.2610619746112415e-05,3.643725954121901e-05,5.0047077313277766e-05,6.84679076557816e-05,8.137922166541829e-05,8.704093275647454e-05,7.559111423643363e-05,5.9761695296078145e-05,5.811334077516461e-05,6.10758449997541e-05,6.423204821026752e-05,8.477088172995948e-05,0.00012126595878786598,0.0001722083061751043,0.00021410878595348702,0.00022866322233758713,0.00019925664306821725,0.00015633436287267995,0.00012178494206206223,0.00010487956603665739,9.737429739747245e-05,9.947249642705175e-05,0.00010750852811529554,0.00013147144671047883,0.00015628626954720248,0.0002092575669098598,0.00026129740342993704,0.0003263628309630927,0.0002907854855731622,0.00017014310390747086,0.0001280566730742464
2.289861874429884e-06,5.461261048584758e-07,6.323521285131686e-07,6.695621240028858e-07,1.4931621477810946e-06,2.8131588298779955e-06,5.804359426310443e-06,5.3236611347952845e-06,4.1481900711995724e-06,3.880649845537447e-06,4.256784492706449e-06,6.0667856597908855e-06,9.136876621801039e-06,1.218618053009087e-05,1.4366151810778467e-05,1.324306295670563e-05,1.0519287461900943e-05,9.93059034590698e-06,9.998762448467624e-06,9.63357865890048e-06,1.1776845382226613e-05,1.618863949305599e-05,2.2765701338873502e-05,2.8210697252260892e-05,3.0486262221853778e-05,2.6968679105327677e-05,2.143812734365438e-05,1.6778520677786806e-05,1.4614184657949651e-05,1.3652533758120213e-05,1.3933080633953626e-05,1.4799151726749686e-05,1.791731793945909e-05,2.087437282378518e-05,2.7965278082267887e-05,3.485150338914842e-05,4.494279314385681e-05,4.4300548162615464e-05,2.627350826323953e-05,2.0081143566739487e-05
1.1893656487623863e-06,3.448415517368084e-07,6.509378379952602e-07,5.102286576668473e-07,8.06878971544947e-07,1.631152305656736e-06,2.8739392210644135e-06,2.6623956229827155e-06,2.2366262877541355e-06,2.3469977804708433e-06,2.8699088332035166e-06,4.216894982174022e-06,6.139430102325352e-06,7.933104564168178e-06,9.37364558817352e-06,9.44003869526658e-06,8.98796500916423e-06,1.0186055353553865e-05,1.1655846853607643e-05,1.183455495705417e-05,1.3001824968394949e-05,1.5496994366512943e-05,1.9933907484699644e-05,2.2673965329549838e-05,2.371496697705486e-05,2.1522751906820388e-05,1.835746939304139e-05,1.5194846059638512e-05,1.4226105762620547e-05,1.4212444911284338e-05,1.5300299406763565e-05,1.6548507744817607e-05,1.9469803353643546e-05,2.0368793589889223e-05,2.506503304966741e-05,2.6943202859427152e-05,2.8116637728421886e-05,2.0409722774873833e-05,1.001336231293659e-05,8.392564211479266e-06
1.9718251452465408e-06,5.131150659995955e-07,7.914191521003537e-07,5.768546797050961e-07,6.346140542590165e-07,1.3379137986519632e-06,2.8833299321375575e-06,2.8294341957078947e-06,2.1785829918234706e-06,1.966915867873386e-06,1.9773237496693527e-06,2.3361976907138722e-06,3.1328790025947336e-06,4.092664360940024e-06,4.874867087332774e-06,5.2368756170706135e-06,6.205727398545118e-06,8.243628087689476e-06,9.515042369899741e-06,9.10802734865715e-06,9.855072567940275e-06,1.1886334868050369e-05,1.5352188445860456e-05,1.6999882386770128e-05,1.7080088775367465e-05,1.5093214671485862e-05,1.2905030414742825e-05,1.0849732668294743e-05,1.0581478662436382e-05,1.101957032863737e-05,1.2123149079805853e-05,1.3101709449289973e-05,1.5415170211594365e-05,1.6206399459730756e-05,1.9993414572537117e-05,2.0718186363536474e-05,1.8698519570325003e-05,1.0953738206613222e-05,6.219390874627789e-06,6.975961859070006e-06
0.0026894363460477776,0.0036901196082987585,0.002843323449319621,0.0027931548306910094,0.0060817202875350935,0.005577372974328431,0.004898648502476098,0.0031903804227206398,0.0021051181565409248,0.0016891765052387318,0.001696665598485945,0.0019620181159629145,0.0022053656832977373,0.0024950611955879914,0.002778091895530418,0.0026052902165939,0.002160256755505275,0.0018733276637541154,0.0016321936824950662,0.0013056833199725601,0.0013234437817340313,0.0015983961675856324,0.0018769349382479791,0.0019633377048705906,0.0019918564781309673,0.001907325719730802,0.0018592298491958985,0.0018114962875542093,0.001878681274414277,0.0018924692422497109,0.0018490765867446824,0.0017206864248171681,0.001768855027267617,0.0018210710003464469,0.0021129010481810285,0.002257119593202326,0.003217614201145487,0.006197094709572399,0.0077079168891450315,0.005971836652979068
0.00042459769701715854,0.00018240237855533643,0.00018690772652473864,0.00014206058695047553,0.0001420037078383525,0.00014504402794732757,0.0003617195963338292,0.00045129111599224276,0.00029470831447871816,0.0001996641554504998,0.00014000395110464015,0.00010902894647487395,0.00010949418221366483,0.00011879687212058322,0.00012752327041395056,0.00013323426514125228,0.00014995813047273944,0.000179699234955019,0.00020135297399886644,0.00021214943023114126,0.00025440496571890747,0.00032982125651045865,0.0004256763409299642,0.0004682992100562565,0.0004537542176387994,0.0003922115208825238,0.0003334192780378687,0.0002848923168727121,0.0002742026668513018,0.00027810264818640745,0.00029705510943570513,0.0003219934102643469,0.00037892812299005017,0.000421321996331941,0.0005196693601543156,0.0005572306124851204,0.000513504008923206,0.0003531617763617629,0.0003097746260255955,0.0005078344023126881
1.762678628839798e-06,6.806432399617792e-07,1.1220524565008086e-06,8.81049244944714e-07,6.615425131251447e-07,1.058742716560482e-06,3.36974815934164e-06,4.33124715748084e-06,3.3018702127289083e-06,2.5910837180147368e-06,2.13045496916168e-06,1.9512548122476096e-06,2.1657403944024326e-06,2.6754621097374685e-06,3.6495179540605706e-06,5.131192494740719e-06,7.380201356669481e-06,1.0830413297909547e-05,1.327028330196075e-05,1.306391094123667e-05,1.418838806566578e-05,1.655957030596675e-05,1.9724767215212672e-05,1.950417892202083e-05,1.815907364958514e-05,1.6023977745118964e-05,1.455509394537501e-05,1.308341217114117e-05,1.3660905965634292e-05,1.5059386823461743e-05,1.7137919725747254e-05,1.8572176381814733e-05,2.136667963106208e-05,2.151747781212687e-05,2.455265723437964e-05,2.2197321520249038e-05,1.7940253067415464e-05,1.0400047602783569e-05,5.666853734302555e-06,8.7535515203351e-06
6.959953288719627e-08,6.307982738803043e-08,1.2648170268771241e-07,6.395255188557718e-08,3.888593671731091e-08,6.32072481983841e-08,1.459517057129458e-07,1.4960220754759598e-07,1.1771838761142143e-07,1.0254066254083053e-07,1.030129381871197e-07,1.3124397970783815e-07,1.9410209838747738e-07,3.004791470539063e-07,4.6160644173921997e-07,7.275059210541519e-07,1.2312176171332398e-06,2.047876043495646e-06,2.510406444074751e-06,2.062443121710101e-06,1.8001419791211582e-06,1.7673547245538284e-06,1.9277777517738077e-06,1.807027321778599e-06,1.6502865206078396e-06,1.4678468702362328e-06,1.380974724182333e-06,1.2923820245640294e-06,1.4547228719711026e-06,1.7382152782093894e-06,2.0772966367522505e-06,2.20012210183887e-06,2.419048578702819e-06,2.228548153217696e-06,2.400632411358374e-06,2.006855968065629e-06,1.4271598715891596e-06,6.77969144959881e-07,3.076309079910244e-07,3.5521315541876036e-07
1.6129233971008123e-05,4.45113621088921e-06,5.738774227031581e-06,3.900345732121159e-06,4.530495350645124e-06,6.151124715577374e-06,1.593667031263954e-05,1.8354874412732516e-05,1.2033447910688015e-05,9.04298141311316e-06,7.534778543478013e-06,7.255226271486815e-06,8.48009478839459e-06,1.0271595252252486e-05,1.1765097284846096e-05,1.2473557746037012e-05,1.459695520869482e-05,1.923323663068402e-05,2.3679540483981404e-05,2.5251950053282616e-05,2.8249908726506695e-05,3.436612690667969e-05,4.404757466846536e-05,4.870410630260946e-05,4.804816953164839e-05,4.204800332136245e-05,3.602939648061773e-05,3.0444042545327492e-05,2.9318326233998294e-05,3.0004894007208567e-05,3.280290269874439e-05,3.6089675749209315e-05,4.264403144873562e-05,4.5467367802928796e-05,5.562505455778298e-05,5.83190711206437e-05,5.2472006305199996e-05,3.199336628811351e-05,2.082807755121437e-05,3.118633500493312e-05
0.00016818362526868755,0.00014085509420014566,0.00011419184952524074,9.592428191435529e-05,0.00013113576515740602,0.00012749496840856728,0.00026232020102476695,0.0002486743761207309,0.00014445429290671987,9.232117358167476e-05,6.824633634502443e-05,5.8553035821461594e-05,5.709010639413414e-05,6.030841124363987e-05,7.100047041595188e-05,8.215048137294699e-05,8.975956610100924e-05,9.454153832346351e-05,8.473424726160296e-05,6.473104283060076e-05,6.729784599118377e-05,9.038778153464223e-05,0.00011835514333887327,0.0001296751617700835,0.00012404872802740873,0.00010800306827125164,9.845095027992347e-05,9.253939609150319e-05,9.792662105415916e-05,0.00010330172064279078,0.00010520423310683679,0.00010059081101631664,0.00010758004357952162,0.00011757667019299512,0.00014759242729132894,0.00016656108731735237,0.00019268039057134754,0.0002020504060130078,0.00020333116170497022,0.00037610355038538996
1.762678628839798e-06,6.806432399617792e-07,1.1220524565008086e-06,8.81049244944714e-07,6.615425131251447e-07,1.058742716560482e-06,3.36974815934164e-06,4.33124715748084e-06,3.3018702127289083e-06,2.5910837180147368e-06,2.13045496916168e-06,1.9512548122476096e-06,2.1657403944024326e-06,2.6754621097374685e-06,3.6495179540605706e-06,5.131192494740719e-06,7.380201356669481e-06,1.0830413297909547e-05,1.327028330196075e-05,1.306391094123667e-05,1.418838806566578e-05,1.655957030596675e-05,1.9724767215212672e-05,1.950417892202083e-05,1.815907364958514e-05,1.6023977745118964e-05,1.455509394537501e-05,1.308341217114117e-05,1.3660905965634292e-05,1.5059386823461743e-05,1.7137919725747254e-05,1.8572176381814733e-05,2.136667963106208e-05,2.151747781212687e-05,2.455265723437964e-05,2.2197321520249038e-05,1.7940253067415464e-05,1.0400047602783569e-05,5.666853734302555e-06,8.7535515203351e-06
1.154589354925515e-05,4.704613572270734e-06,5.507581359987987e-06,4.260684043562132e-06,3.831054807129352e-06,5.787187474491267e-06,1.6684509382427096e-05,1.963961499250156e-05,1.3261551665359023e-05,9.458357148115872e-06,7.130407620376007e-06,5.960286388155479e-06,6.037147390777834e-06,6.879751951283223e-06,8.87055871084431e-06,1.1311892828213919e-05,1.3988084996641506e-05,1.7865635018912978e-05,2.086570305270342e-05,2.151296899486973e-05,2.5621942480825003e-05,3.255534840937649e-05,4.0830184939326806e-05,4.359419097971578e-05,4.321575903815798e-05,3.882373971830069e-05,3.428943993227951e-05,2.985099826040617e-05,2.9138079216442008e-05,2.968571296056115e-05,3.1737991833919605e-05,3.404157583908931e-05,3.9839012157075154e-05,4.324294796436337e-05,5.202083988510687e-05,5.265466756127445e-05,5.246036826093362e-05,3.849972597378583e-05,2.2373503040924058e-05,3.7466434704725575e-05
