0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
-7.664865497147419,-5.686470696646561,-4.502105631632934,-5.884852198234109,-7.352945138180717,-7.6965865691125686,-7.746328809123405,-6.633193986587313,-5.593589516029004,-5.049375526196431,-5.638688913617068,-5.602759024746463,-5.185468626648464,-4.798200275534635,-4.8038767745238,-5.417542673501314,-6.106511203417385,-6.462396170533796,-6.36303280276519,-5.79968320787606,-5.246547164340315,-5.251942444835853,-5.726513458230136,-6.309499325645106,-6.476237834595262,-6.3807430942743855,-6.2524054632179915,-6.209699232685199,-6.250484511145908,-6.413163989570005,-6.526352456651164,-6.504369114447286,-6.22099519663532,-5.831803789679005,-5.660510125583593,-5.856957946986776,-6.456097986895998
-7.930151736944294,-5.426202395757886,-4.3882382412234335,-5.622140312611544,-7.12790785655333,-7.7242621981817,-7.825298084801833,-6.578820027310105,-5.081752988948718,-4.539539898610564,-5.265426278738136,-5.294072838950918,-4.8699685093517315,-4.458220801419207,-4.480393872575473,-5.132104638754629,-5.848065381707487,-6.259143446001527,-6.230910323649821,-5.591028226782209,-4.950750894216368,-4.745425411883152,-5.0983325418425265,-5.717040984742738,-5.902958995096694,-5.802246845813432,-5.673590906198092,-5.638242467929216,-5.6975816864953766,-5.911327063776428,-6.113490353214,-6.152587165473105,-5.882458536232861,-5.453302823449601,-5.1888143310589685,-5.227855016847861,-5.764621112183287
-5.791197190681624,-4.352977683380569,-3.7483546139756037,-4.167413268053915,-4.968228403451805,-5.571849510247081,-5.824982677679043,-4.86108570501101,-4.227544314043079,-3.985847783938633,-4.785625676982287,-4.955791385389183,-4.7258820639399275,-4.5160894034698025,-4.445215036052959,-4.533431103001902,-4.544017846784446,-4.6957904321500905,-4.737363463924731,-4.365767954805543,-3.9935961695172284,-4.244391890764385,-4.914940201691819,-5.437655665158161,-5.563763994016268,-5.493701868042328,-5.401147474668985,-5.323667381229054,-5.215530030238642,-5.125317598613298,-5.061947076202153,-5.075510788633683,-4.903304812234467,-4.618177485800653,-4.569690950817213,-4.889092157995618,-5.495694442713493
-6.947457321085141,-4.729582344820982,-3.6283474741642654,-5.143573066151877,-6.887672334659689,-7.446626325903859,-7.352282197391739,-6.0308616479380275,-4.859617131447619,-4.053617872530852,-4.860580660965473,-4.74549672813348,-4.084161525186863,-3.675459074111474,-3.814394834210806,-4.510000412531059,-5.408169874798472,-6.036014983234521,-5.925292811643738,-5.249114254799039,-4.741577940884524,-4.549472593008415,-4.802243380633264,-5.376515473043864,-5.607543437887098,-5.493771231170701,-5.335794105013301,-5.2886931168616975,-5.38015756742334,-5.663723599247676,-5.909685512309011,-5.940544303723723,-5.605002130318956,-5.174049143199728,-4.952451382409995,-5.009080710733855,-5.543082029093041
-7.725112873719043,-5.478676478883222,-4.1998425521091285,-5.910163628832172,-7.55036934794467,-8.028482488826516,-7.958388178771035,-6.652684449507386,-5.259797347134231,-4.531137370967025,-5.236802832765036,-5.104774704021346,-4.4598395200649446,-4.075398689060561,-4.18271901067957,-4.879793338551697,-5.801428733115397,-6.406131759046326,-6.278848399559697,-5.598557976151872,-5.044827579687886,-4.883503538119654,-5.194218673542867,-5.805367018489384,-6.022303839837814,-5.897426176631212,-5.726448530751716,-5.670241250359567,-5.760783851185734,-6.053125513618081,-6.29580320633934,-6.303508776695052,-5.960888537416268,-5.51457290584964,-5.2829648418126025,-5.374226847648892,-5.950488986096098
-9.476178792735679,-6.0480828094056385,-5.402069773952272,-5.942958946224087,-6.092746906386509,-6.114672233801618,-6.251516701117459,-5.2860572034770295,-4.224184799767541,-4.051963389695984,-4.7929907617897465,-5.34239961581971,-5.258664328588058,-5.0664455540767594,-4.835234402757929,-4.701926747124733,-4.467121802426109,-4.291224640552843,-4.176043408622018,-3.8897741297694126,-3.7003518737009595,-4.006459894221288,-4.559597731566808,-5.099201910661503,-5.319167611958631,-5.283473746595133,-5.193998181324877,-5.0755757036497275,-4.887000347993309,-4.675254478808563,-4.487368115439865,-4.420047183826007,-4.290677436287141,-4.091370139232028,-4.098525154956321,-4.417310278162809,-4.908344347828007
-7.579103969144635,-5.682790754097699,-4.216295130120305,-5.312106205434372,-6.771320596665242,-7.166834888316979,-7.063603533685027,-5.880871160399672,-4.710570860864514,-4.0774812130266485,-4.948407048662433,-5.076254568843715,-4.574946921437942,-4.146035889576312,-4.05067273383941,-4.464155066145762,-5.129744682620811,-5.660105401156523,-5.608528635979033,-5.0061026165512645,-4.574279328713591,-4.416073207321943,-4.698661319477127,-5.286217323028667,-5.547742406977454,-5.486902616251421,-5.365275684665953,-5.29826862074328,-5.310377387464696,-5.491152742527936,-5.668274139572162,-5.697554804392125,-5.389698697523959,-4.996188059622991,-4.790949589015198,-4.817736419084219,-5.322930733633041
-9.900941127108926,-8.27993614065299,-7.0215994316391805,-8.22920771316898,-8.949569492110802,-8.777416520985993,-9.04449420680292,-8.502880617716096,-7.190129656194408,-7.501281278226019,-7.502734027643999,-7.6202000739547,-7.440819191482731,-7.078518854748999,-6.897883320689395,-7.107273192085221,-7.1927219113664025,-7.234254937707315,-7.288502631259927,-7.203618285535425,-6.872533341490356,-7.152857451953437,-7.727049439131562,-8.005621502513627,-7.996597858198343,-7.8784004708779936,-7.764913003155135,-7.701712258724656,-7.675005355873095,-7.729595660261429,-7.742353494183524,-7.7176933032110835,-7.6219585152634615,-7.504034545406898,-7.507379142755751,-7.7878784420013805,-8.140204565560149
-9.395375474448867,-7.917890239995167,-6.357971741232932,-7.611020695614935,-8.593754727068715,-8.496518946811092,-8.641858464094426,-7.758552630912787,-6.596212327273067,-6.58375875976288,-6.861291818371421,-6.9998029713022705,-6.788876597889061,-6.411433726954384,-6.168363117695731,-6.45803416663753,-6.761067700107546,-6.945397839971604,-6.970669734454444,-6.673842922280531,-6.184811547584368,-6.362098603735875,-6.966980922037679,-7.444730187608382,-7.528832315576468,-7.439664102402082,-7.329496542103186,-7.257881659094444,-7.222922600617369,-7.285019204610707,-7.314954975373467,-7.283966927974576,-7.10225427493688,-6.835809599942582,-6.743253773063369,-7.020451629909269,-7.527211032569134
-6.764476885098518,-3.9817520065945478,-3.0791865408679913,-3.6597745623102287,-4.439284851993479,-4.588030113771168,-4.438837632209859,-3.636178943872722,-2.9052399285649604,-1.9461666843780054,-3.0747494416050576,-3.6655238014270606,-3.394708445965144,-3.1202484274629483,-3.149988979983807,-3.344259402566894,-3.4220565194202393,-3.4260330963375023,-3.1664883403772808,-2.7923505571411344,-2.758670055066147,-2.715079161719325,-2.668167251133657,-3.1701131343132327,-3.6263774937567086,-3.721420148337216,-3.734286796675095,-3.746063086530834,-3.7108850572391705,-3.6264066878640984,-3.4765821899347915,-3.376189681353177,-3.1352211682466473,-2.916842385803351,-2.8411487769052433,-2.8216048547224255,-3.118078969850153
