0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
-7.924884725323776,-8.455706260568196,-8.587980679558108,-8.21610588604199,-7.906875897965302,-7.737744780022651,-7.677381638784889,-7.703019442160344,-7.8077233847350875,-7.9747854236865,-8.153131977281475,-8.272760073349762,-8.325715716971677,-8.336160716645924,-8.311318979226208,-8.252238425641814,-8.162142971858255,-8.042221536815202,-7.893169776660188,-7.718318727376016,-7.5348262664775865,-7.360425401437797,-7.215175879483987,-7.0764961800079424,-6.923965029787863,-6.752459732928114,-6.583064798655598,-6.446945244346655,-6.355265000761865,-6.344053605515423,-6.397686341173732,-6.5705318970982285,-6.791805092761288,-7.021441283678171,-7.1974663682883415,-7.291881197454264
-6.3252710401327565,-7.10448632103055,-7.159813992696274,-6.712718871162242,-6.363395443970991,-6.1951025819949885,-6.165804089043131,-6.242741419809119,-6.393994182880884,-6.574805124942038,-6.728842921179301,-6.813748214500868,-6.860735486607118,-6.919128519815751,-6.9951684504810006,-7.069319298525223,-7.124993836857402,-7.152943090883485,-7.15576530386052,-7.1483193647188426,-7.152041392598071,-7.17759460936834,-7.222766739185354,-7.276633373402913,-7.332404116266134,-7.385762255504386,-7.431069579214513,-7.463467952276216,-7.481773978514128,-7.504208809282564,-7.528081352769195,-7.571998835632361,-7.578591515824186,-7.532796844837086,-7.449145895536165,-7.348011406007233
-7.201161908863793,-7.67143522204834,-7.5365030435168805,-7.077421272561735,-6.748387732630214,-6.573289696606648,-6.4996314196113,-6.506375101930138,-6.576062415064025,-6.68607501394376,-6.806315752582223,-6.908077660664222,-6.980978562733709,-7.032052371947827,-7.066602851450465,-7.0872822424190405,-7.095523086873908,-7.093265877833083,-7.078316960799025,-7.0451887253366445,-6.990209926593727,-6.917753356042785,-6.846332074315917,-6.770028253270561,-6.6770116522452865,-6.5574009604446335,-6.420486839373589,-6.295861087783836,-6.207508874949727,-6.210343609000041,-6.306709046003541,-6.539208832799074,-6.80365708236375,-7.035210327155755,-7.179649332963964,-7.2332528257647315
-7.921964029795901,-8.67813735943647,-8.901618699901793,-8.561472924631355,-8.250245851058242,-8.0689258739324,-8.002048794309669,-8.028729024663615,-8.138425240748846,-8.308582335219441,-8.47643456062871,-8.55844440877296,-8.552645457891696,-8.503280331225708,-8.428374226399155,-8.328937494156222,-8.206247089338492,-8.059379282955659,-7.886075541778996,-7.682870334973029,-7.457928617787207,-7.223586703210441,-7.00823552293659,-6.791013984740695,-6.558380622449426,-6.324540252435943,-6.127542451767943,-5.992029250306984,-5.913221460098008,-5.909871007856836,-5.9602636859246765,-6.105358449639183,-6.313537819292973,-6.59059002331193,-6.871132685200525,-7.067299450847382
-8.123909176409022,-8.887188776031575,-9.181611371947529,-8.882586786536613,-8.586429467553502,-8.409178452931492,-8.355165155586967,-8.411411445102992,-8.565687063332252,-8.781791241291192,-8.981854198291446,-9.07133649526155,-9.050134756024015,-8.971917831307039,-8.864649053305929,-8.731483478027343,-8.57371191785015,-8.388087526523494,-8.17670220384413,-7.948197195805277,-7.726375497527971,-7.523501910288956,-7.350433009201575,-7.176825625216012,-6.983939456117665,-6.781647132327472,-6.608618576574565,-6.497323632707391,-6.447714774190815,-6.476030887406082,-6.549517632018733,-6.714986768627318,-6.916841085837164,-7.13318225327805,-7.309955581492772,-7.412268754511985
-10.478153859271682,-10.503040266902936,-10.488450546030851,-10.28865790629327,-10.085472247024825,-9.955621038146752,-9.938968835246893,-10.026682613385812,-10.196707265131181,-10.416432161604138,-10.630183873123126,-10.745279234422089,-10.721709326572814,-10.597177189132573,-10.420940641392242,-10.217395820838505,-10.006108026571152,-9.797081160584042,-9.597511144184669,-9.403514201020364,-9.213144785832137,-9.016173008273142,-8.816390316140247,-8.596301741384773,-8.365706782492563,-8.169030887164762,-8.044371543092542,-7.986638965140239,-7.970126246639047,-7.990208551836698,-8.028452311308602,-8.08667322618589,-8.112359677719915,-8.086987152749156,-8.025855048177638,-7.972689143937467
-4.932658149049221,-6.388629934240742,-6.032666355417678,-5.453370149520337,-5.165795383809153,-5.103071174383652,-5.189172621865964,-5.3659883464077955,-5.590736587843671,-5.813232992317759,-5.95274399888182,-5.919843126685706,-5.7614445609474645,-5.623974884678044,-5.581970821792288,-5.624360033056747,-5.715955318221328,-5.821273013368318,-5.912275679365299,-5.973186918847033,-6.00539002797244,-6.027588046013771,-6.069330619847806,-6.151078624312761,-6.283423053297745,-6.451104649823821,-6.614040109286177,-6.740159127016865,-6.826057971744433,-6.888094315726682,-6.923952258023165,-6.9334763372901485,-6.882482512304267,-6.763993787031342,-6.58976094845851,-6.381940503075032
-2.8393929713739054,-4.466375860912974,-4.755657903396677,-4.6182016107226715,-4.486782095232698,-4.45313203664344,-4.490341191375966,-4.571434340513561,-4.688664748123684,-4.8110134659075845,-4.865579522737869,-4.77716539918789,-4.604589082793444,-4.47530803813626,-4.441775953216371,-4.485721695991833,-4.571639629284784,-4.667797364175589,-4.756558488547562,-4.839758076424906,-4.9288944283851785,-5.030582742929463,-5.137291209229156,-5.254931707683232,-5.389772918644341,-5.543666980472389,-5.709368430384743,-5.867431103833948,-6.009868887850869,-6.132323735310888,-6.227563915611086,-6.2603687740655785,-6.22116531523561,-6.092204524151012,-5.866392662112812,-5.5540010196649465
-6.856325894873112,-8.149174292324187,-7.880760510911505,-7.296577067333623,-6.9240253547166875,-6.765833674972289,-6.771351840565332,-6.892083079463105,-7.088382542921363,-7.3096261476512,-7.47243959238982,-7.4843912588376815,-7.381431947404811,-7.286359576785718,-7.255081349619835,-7.269233610575143,-7.301074180903192,-7.33188955650065,-7.354378825115494,-7.366042598493906,-7.367100929167781,-7.354335790223819,-7.3304026877401975,-7.29074217417864,-7.241076512273357,-7.193993479634194,-7.1514906979461195,-7.10774691937316,-7.059145731257714,-7.03925240408637,-7.046892097920238,-7.138933836978464,-7.224654832742482,-7.261009802209748,-7.23808186941992,-7.18442705852359
-2.8393929713739054,-4.466375860912974,-4.755657903396677,-4.6182016107226715,-4.486782095232698,-4.45313203664344,-4.490341191375966,-4.571434340513561,-4.688664748123684,-4.8110134659075845,-4.865579522737869,-4.77716539918789,-4.604589082793444,-4.47530803813626,-4.441775953216371,-4.485721695991833,-4.571639629284784,-4.667797364175589,-4.756558488547562,-4.839758076424906,-4.9288944283851785,-5.030582742929463,-5.137291209229156,-5.254931707683232,-5.389772918644341,-5.543666980472389,-5.709368430384743,-5.867431103833948,-6.009868887850869,-6.132323735310888,-6.227563915611086,-6.2603687740655785,-6.22116531523561,-6.092204524151012,-5.866392662112812,-5.5540010196649465
