0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
6.9931310617224965e-09,3.3977912553715734e-08,1.2816625170934943e-09,2.5796963531354555e-08,1.6379936937850132e-07,2.737305627393298e-07,5.932979325990312e-07,1.0482736893209206e-06,1.3244541785919824e-06,1.330963385838108e-06,1.2069785925182811e-06,1.0606168440026522e-06,7.002471508912297e-07,4.2799206584226885e-07,2.996581213592213e-07,2.3720635530043314e-07,2.0506325658106367e-07,1.9036193896241965e-07,1.861297020272274e-07,1.8870140505591384e-07,1.952970180334718e-07,2.0375406368815477e-07,2.1248104107498978e-07,2.2059339837272267e-07,2.2774486996454025e-07,2.337298497891573e-07,2.387694677843543e-07,2.432655932749231e-07,2.473376471920147e-07,2.630656160807876e-07,3.749021594877645e-07,6.071498836203032e-07,7.891236440572706e-07,9.141792570977216e-07,1.0661655017502568e-06,1.264332466570284e-06,1.5479596152142093e-06,1.805388082583993e-06,2.672086157002416e-06,4.045204281398632e-06,6.9190406765890054e-06,9.736213760983352e-06,1.0507543706296107e-05,1.0363138569304584e-05
4.719012774605667e-09,3.2422562189426204e-08,1.1199926597206853e-09,2.6255512063782723e-08,1.7749083241227075e-07,2.8911324031818234e-07,5.485816903173879e-07,9.694093213122882e-07,1.2170459103156962e-06,1.2584128660465493e-06,1.16805641940511e-06,1.0462443550423075e-06,7.249523061372799e-07,4.5169967214166655e-07,3.2066058812556086e-07,2.570892992233579e-07,2.2435469397109397e-07,2.095113611000129e-07,2.0553463438272134e-07,2.0876112277083491e-07,2.1630254570213874e-07,2.2584224927973416e-07,2.3564133650367262e-07,2.4473244198254335e-07,2.5272702207211857e-07,2.593964061810217e-07,2.649865409870646e-07,2.699571518203649e-07,2.7442935455053414e-07,2.9252422126914545e-07,4.2048144227490714e-07,6.804191312873587e-07,8.764774420663729e-07,1.0069267578478794e-06,1.1640992658963358e-06,1.3706728797387769e-06,1.657946642931658e-06,1.922951812447776e-06,2.72813532925514e-06,4.051264280536979e-06,6.505876947773635e-06,9.180184246966922e-06,1.011448583140975e-05,1.0107517433298723e-05
1.7234515532452336e-09,1.211423089144106e-08,8.028498564619393e-10,2.306248397532736e-08,1.5363380981757913e-07,2.6244291748843007e-07,4.490172711140097e-07,8.097243120869703e-07,1.0189664404704808e-06,1.08887266971518e-06,1.0334511802599354e-06,9.399615777304824e-07,6.745664070971377e-07,4.196798160090646e-07,2.947716411020343e-07,2.339917501623672e-07,2.024722602600155e-07,1.8786007056348642e-07,1.8344744093254793e-07,1.8578134811323531e-07,1.9217588965807944e-07,2.0046439818920572e-07,2.0904686057215943e-07,2.1699876406980715e-07,2.239825650547374e-07,2.297709555637087e-07,2.3459513870314313e-07,2.388615112883371e-07,2.427145077801477e-07,2.5880258624943715e-07,3.740539395696632e-07,6.141370452571691e-07,7.93925247200924e-07,9.134869531474311e-07,1.055285971412235e-06,1.2434721710428524e-06,1.4985175418693573e-06,1.7412103740831033e-06,2.399213671526446e-06,3.5422305608525468e-06,5.41681842252396e-06,7.742308308470848e-06,8.742022029883804e-06,8.858438304993661e-06
9.029615402835911e-09,2.395494584093944e-08,9.644135701790804e-10,2.8437690759157875e-08,1.9244129539800673e-07,3.1208534545494853e-07,7.908972404972568e-07,1.3823510645883822e-06,1.7281345732361307e-06,1.6588535290740355e-06,1.4484400986602028e-06,1.2351917702587248e-06,7.632529513712305e-07,4.548301424977668e-07,3.168526325714066e-07,2.5103057539297624e-07,2.173375338831146e-07,2.018825682870395e-07,1.9736196600925317e-07,1.9999074472735514e-07,2.0684557230294468e-07,2.1564546410050052e-07,2.246885778154656e-07,2.3306030536796182e-07,2.403820520454364e-07,2.46450410272376e-07,2.5150712593210947e-07,2.5599912579049844e-07,2.600326103963823e-07,2.7693239269262797e-07,4.000365188487352e-07,6.513321407906842e-07,8.445219477164046e-07,9.75875896777396e-07,1.1401744369778194e-06,1.3546093893416742e-06,1.6684009131154788e-06,1.9452297947540058e-06,2.9962533420998e-06,4.601401926496631e-06,8.363600717233589e-06,1.1549532221512962e-05,1.2032489565951676e-05,1.1615321171779159e-05
3.8133103449050834e-07,8.869957643188886e-07,2.5822642520627124e-08,2.1817408105032078e-07,1.047666025394521e-06,1.5185021139242124e-06,5.235966070484765e-06,8.27113722883646e-06,1.0274947370848672e-05,9.24632495908992e-06,7.74218481325919e-06,6.422914971281977e-06,3.508720549347112e-06,2.2335982470709252e-06,1.7600788988885124e-06,1.5509039183172042e-06,1.4496622173175305e-06,1.4101989726005294e-06,1.4105777689322804e-06,1.4385076136722433e-06,1.4829070006182062e-06,1.53498671301687e-06,1.5876781145105509e-06,1.637671990117987e-06,1.683002316547729e-06,1.7230276741179594e-06,1.7585736897816665e-06,1.791479245306467e-06,1.8216957966849355e-06,1.908344925137957e-06,2.5205152074098187e-06,3.5575173111694155e-06,4.327557083680474e-06,4.8967457900409264e-06,5.7467072588543965e-06,6.771089685644871e-06,8.468757552879467e-06,9.690305693597596e-06,1.726565344062808e-05,2.6722356919975836e-05,5.899157246829645e-05,8.205696799557073e-05,8.045882672864791e-05,7.423479132394598e-05
1.3676823352788958e-06,1.9375217174923132e-05,1.1649854757841854e-06,1.7254505453137182e-06,2.5527132770512844e-06,3.5365467230655296e-06,5.829226506759458e-06,8.812885698813087e-06,1.101059571952629e-05,1.17688134758603e-05,1.1630154844148673e-05,1.1203867932818228e-05,8.931171122449621e-06,7.426715940837785e-06,6.9475505043281315e-06,6.856961092599638e-06,6.893353491147532e-06,7.006720344696586e-06,7.168693218760882e-06,7.363640920471542e-06,7.578764825782629e-06,7.802229501215237e-06,8.026480363595112e-06,8.243791807289287e-06,8.452593334121413e-06,8.649638652834964e-06,8.835693297485454e-06,9.010977767874162e-06,9.177845004064086e-06,9.387435441188573e-06,1.0426125119991905e-05,1.241960716760122e-05,1.390261659468978e-05,1.5145450392807576e-05,1.6902709289469015e-05,1.8969391670764355e-05,2.2022717610628445e-05,2.4408678270870422e-05,3.420159724479391e-05,4.728638438312121e-05,7.830068322473362e-05,0.00011433114249234393,0.0001273261064972127,0.00012774253492403454
7.847249484974465e-05,0.00020858834924209456,2.55874530038652e-05,1.7845638476478613e-05,2.9372282381683482e-05,3.77239227831847e-05,5.7902022182509175e-05,7.636049369450031e-05,8.847500765263865e-05,8.954503761485146e-05,8.566061777818389e-05,8.080180451328892e-05,6.420987404077501e-05,5.6357129840083105e-05,5.679373762358685e-05,5.955840249972474e-05,6.237462216823865e-05,6.487495031932252e-05,6.710202305779154e-05,6.916215463727591e-05,7.11354930606423e-05,7.308008486537944e-05,7.501784828227316e-05,7.695084661043345e-05,7.885744636455263e-05,8.07302699845508e-05,8.255882062909042e-05,8.43311935370965e-05,8.602856909202974e-05,8.764824784264187e-05,9.167811453272919e-05,9.89646145207452e-05,0.00010379380369217954,0.00010838858593878175,0.00011677910688094485,0.00012686650636024117,0.00014242597005144553,0.00015364130508606258,0.0002062159846142494,0.0002709702430431699,0.00041155419634784506,0.000546624098298381,0.0005838612226453885,0.000577199416883863
5.0898078852856746e-05,2.8766391389381068e-05,4.006435537106891e-06,2.6721949562866136e-05,5.404540942058846e-05,7.370014878763583e-05,0.00013971863911262306,0.00020110831477972296,0.00023879814324168942,0.00023886205184993505,0.00022357087490596197,0.0002055577564061567,0.0001492798871807871,0.00011270863125994776,9.921890772186736e-05,9.476679460949017e-05,9.372271656207868e-05,9.441767141485602e-05,9.607012523269842e-05,9.832461942699329e-05,0.0001008566252854147,0.0001034438119239466,0.00010590698819370236,0.00010819695453884347,0.0001102647525865156,0.00011210533345759045,0.00011376066577095294,0.00011530261935035308,0.00011670129834885623,0.00012066754614339478,0.00014658652747751087,0.0001835761726634562,0.00020546240096759602,0.00022165526310222592,0.0002474874583668347,0.0002783098225953006,0.0003243332949347136,0.0003582975427974173,0.0005050419587279198,0.0006892587819431027,0.0010843904907931112,0.0014381351881331487,0.001516685923502284,0.001487743849553022
2.466679434789233e-06,1.4839551280145843e-05,9.78837964926891e-07,1.8653735100480494e-06,5.3703540547545e-06,7.618061634351905e-06,1.1595868004248593e-05,1.703447535967258e-05,2.066784889426566e-05,2.1717774737324897e-05,2.1180764833179497e-05,2.019015881440479e-05,1.6182123335950738e-05,1.3584756597073264e-05,1.295822544954718e-05,1.3081806165130529e-05,1.3419917801308577e-05,1.3875175669999968e-05,1.4397412466226536e-05,1.4962709129014993e-05,1.5553689836859583e-05,1.6150367564375834e-05,1.674390503932517e-05,1.7318133074734845e-05,1.7875381131078938e-05,1.8408214632395916e-05,1.8919063023045495e-05,1.9404767221818475e-05,1.987381099957514e-05,2.02812539877722e-05,2.1317676169571814e-05,2.4743129119096573e-05,2.6912678035514774e-05,2.8575541824644586e-05,3.105915544719228e-05,3.425560298146729e-05,3.891708045727316e-05,4.272381702735604e-05,5.762719584455563e-05,7.854642199796202e-05,0.00012418735563541307,0.00017566642702214296,0.00019302708434765632,0.00019251951675524536
4.0271599876162056e-07,3.1182355943411766e-06,1.5759197332393635e-07,4.823338204075839e-07,1.3993079450933202e-06,2.0177575485254253e-06,3.2923170671898717e-06,5.114244148761677e-06,6.270691486770538e-06,6.62290873147577e-06,6.41153653111239e-06,6.029416982795561e-06,4.589080419389249e-06,3.4575869549438916e-06,2.993057342027917e-06,2.819746277859499e-06,2.770964718813003e-06,2.801526283475175e-06,2.8828043478204047e-06,2.998580289032689e-06,3.135080560444291e-06,3.280568812414956e-06,3.4272000339564535e-06,3.5692471827129255e-06,3.7054218078642584e-06,3.833639895715633e-06,3.955122306560817e-06,4.071000244853249e-06,4.182404646310954e-06,4.3524747895650914e-06,5.152934308605917e-06,6.60693206686687e-06,7.526389316056896e-06,8.216726797393725e-06,9.208201750210814e-06,1.043134656888275e-05,1.2190446095129545e-05,1.361966939337419e-05,1.8998108372274703e-05,2.664649866705684e-05,4.3203333787527504e-05,6.297206236866319e-05,7.024491336408285e-05,7.04851445349591e-05
