0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-3.8440813084599728,-7.3319113373940725,-7.560123687916031,-7.375055348870165,-7.199960602446114,-7.055647564933705,-6.912736760819329,-6.7121964358459865,-6.630383838724955,-6.5934606714460875,-6.55693390901327,-6.529591323263441,-6.499599346227547,-6.460244112699538,-6.439172026573308,-6.4197793418459534,-6.397616639436596,-6.364900194639999,-6.3064116311391185,-6.234290734998505,-6.158374612823558,-6.093229551712045,-6.044691896572314,-6.016562487820064,-6.000551085114263,-5.994297005248568,-5.990151536915293,-5.980017295980895,-5.972087913574083,-5.9597903620887,-5.935435851154285,-5.912901426918368,-5.881658935328665,-5.842969606046056,-5.79171266610022,-5.740526252560753,-5.675349291197654,-5.59529948136396
-3.1575458166539723,-7.057034025097214,-7.330003820228705,-7.10834770256257,-6.9171892715528385,-6.767695140967897,-6.6244365396221925,-6.429793693124247,-6.335514546689767,-6.293052118090153,-6.252091223955749,-6.218724328911078,-6.184614269240796,-6.141663988233188,-6.1140587923032985,-6.09052488247018,-6.06463622939889,-6.030127042498972,-5.97299399140721,-5.901709276804323,-5.826692176617245,-5.7609778560113645,-5.710671100670258,-5.6791513026171705,-5.660172266117548,-5.650509289341296,-5.644212232527033,-5.633313931523899,-5.623523271259341,-5.6112361519506395,-5.588311131927945,-5.5656813172974635,-5.536624000446054,-5.499987396783218,-5.452311965543916,-5.40347422033922,-5.343806008721848,-5.2700460413494215
-2.1419739846065347,-6.295813580672744,-6.547015949561139,-6.2772812759007985,-6.066912125966614,-5.910477153176165,-5.768960942976487,-5.595958255237734,-5.481485931827178,-5.422488380461409,-5.368658784905501,-5.319384448748549,-5.27448141067288,-5.224287281378527,-5.18215617439234,-5.147982494163856,-5.1137119330607295,-5.076781006467703,-5.027459202100918,-4.965994526394831,-4.90035219677991,-4.840047754846644,-4.789941448652862,-4.752928635569516,-4.727642931848118,-4.709462595326497,-4.697015245517644,-4.683831810644998,-4.670007813926258,-4.658108567933586,-4.640268303986301,-4.619433411598202,-4.598135009453199,-4.570792005947786,-4.536704942373837,-4.498319930527294,-4.4573706197402485,-4.406419931926046
-2.6335673411683262,-6.350854851096508,-6.742387845609588,-6.575638474611571,-6.407913163051437,-6.266890087092735,-6.120484651911567,-5.899546490081266,-5.824414038778113,-5.796133912780971,-5.765653455158326,-5.746487503815735,-5.72148917426721,-5.684090788305331,-5.66959149525085,-5.655107274672017,-5.636301980719946,-5.6035088711420284,-5.53927779803247,-5.460245080687117,-5.378873738472339,-5.310379034707613,-5.261711290344903,-5.236060876671733,-5.223336732335566,-5.221576324050768,-5.221223382881913,-5.2133442171605,-5.207891932658726,-5.196625676446879,-5.171368842605809,-5.149515606389146,-5.116475613814509,-5.07511621289657,-5.020033817641431,-4.96657096382106,-4.896637298953398,-4.810337760766035
-3.4462743933682565,-6.950562191487,-7.267958028677948,-7.107432720199025,-6.9431564367343475,-6.802321091933787,-6.652018694883359,-6.413225261574557,-6.353352459275672,-6.335569321766188,-6.312756047508037,-6.30326187771938,-6.28450848578466,-6.251402242699811,-6.245596445826948,-6.237129306710892,-6.223264781194061,-6.192225925382623,-6.124442656011643,-6.041320020435883,-5.956196676265422,-5.88616628893912,-5.838654941033147,-5.817108681293779,-5.80864122849939,-5.812210970660713,-5.815764428085099,-5.809783458651006,-5.807307959207915,-5.796605253106306,-5.769658755583076,-5.74802566064231,-5.711918751749459,-5.667004159942911,-5.606143213127571,-5.548539548534549,-5.469886446117686,-5.372771517336355
-4.478162950916326,-7.564485287083329,-7.731815894505197,-7.538389706064277,-7.3703420989332455,-7.241148409599546,-7.11152289886991,-6.9114388389660935,-6.8548044890148505,-6.835320698697423,-6.8114487389913085,-6.797217624595803,-6.776278626472311,-6.743953216710597,-6.732595933232151,-6.720223945548698,-6.70441681557304,-6.6752829977204,-6.615942394891555,-6.542477138703855,-6.465716544375457,-6.401420358681266,-6.355682720127853,-6.3324458547370375,-6.320877448164302,-6.320052443852369,-6.319820525614959,-6.311812120764233,-6.307338563390777,-6.29594542545934,-6.270515080110815,-6.249138655807584,-6.215318053345307,-6.173783544901507,-6.117849425860102,-6.063854122815329,-5.99105425773642,-5.901471244888724
-1.7600894221127592,-5.266277052611446,-5.418288212980106,-5.129616895681831,-4.896673035858675,-4.7196039391952604,-4.540295493885782,-4.256773586109596,-4.223634709181781,-4.21988869759882,-4.206024886683285,-4.20887614392068,-4.197697113440791,-4.169903979506021,-4.175130719656667,-4.174206242033521,-4.167254722547117,-4.140069336367975,-4.072173882440836,-3.991096344145746,-3.910954906742074,-3.8474690648638457,-3.8076380804384296,-3.793829501873874,-3.7919603492419434,-3.8021460818574235,-3.8112380359340245,-3.8100322491900624,-3.812596097702901,-3.805703715127631,-3.7821051968698822,-3.7657302113044397,-3.732685786362586,-3.691595592501414,-3.6350193809115723,-3.5832746913948323,-3.509870313537034,-3.4196065264498845
-6.150786780851006,-8.442614756994184,-8.309044451147377,-8.041588187443677,-7.825994097569715,-7.658378090190122,-7.496754213466484,-7.2696327926382684,-7.204848771907305,-7.174290166352346,-7.14076455430458,-7.118842822818466,-7.091313216188383,-7.053635240830749,-7.038355162092825,-7.021919880158959,-7.002729805756854,-6.970509342435048,-6.908411762334839,-6.8332341222456465,-6.7549523352490795,-6.689428470793898,-6.641935454090928,-6.616694823983948,-6.603235255548105,-6.600320704316494,-6.598444346610831,-6.589273470862917,-6.5836093626529895,-6.571631009351027,-6.545983631369902,-6.523660328803854,-6.48987841848841,-6.4488282966185855,-6.393653458102054,-6.339709477218798,-6.268815705103211,-6.182848420063478
-5.201522473362061,-7.614276606786292,-7.544645130521011,-7.274614459712913,-7.05308057751094,-6.878918094606957,-6.708174029460289,-6.464511970875555,-6.398807005547959,-6.370724324818887,-6.339576114560102,-6.321761738117279,-6.297081097788257,-6.26064218442485,-6.2496625910013615,-6.23676727100342,-6.220277986638946,-6.188570644969001,-6.123222140795576,-6.044002995204606,-5.962378762697069,-5.894945935678929,-5.847510550371921,-5.824138007478344,-5.813283939455524,-5.813766257106247,-5.814975549814245,-5.807890348641863,-5.804370426184382,-5.793620140260679,-5.767836745863058,-5.746143993290539,-5.711595186370121,-5.669180468489754,-5.611811922133408,-5.55640133590436,-5.482859639467544,-5.3935567394575115
-1.8498234660875665,-5.493887430388744,-5.742914911431206,-5.512530731164158,-5.32058369302167,-5.170978141186029,-5.014616305854566,-4.764793367722062,-4.717182604263788,-4.702272885368103,-4.680846551636312,-4.67397945990837,-4.6563109316648985,-4.624056499886355,-4.6207566488743765,-4.6137495339577805,-4.601695119987955,-4.572039640485512,-4.505647328646524,-4.425862344832965,-4.345796342129379,-4.28096447496332,-4.238265757470933,-4.220292009507535,-4.214498157154964,-4.220498956870214,-4.226360277273436,-4.2231086891735865,-4.223215097621609,-4.215139877865245,-4.191647193361203,-4.174155545116312,-4.1419179472660765,-4.101737014556479,-4.046970969146502,-3.995853873902688,-3.9249472249212594,-3.837687959776886
-2.717636706302839,-5.861133426404702,-6.0118251462683565,-5.759124096046517,-5.552890281428834,-5.392962444447151,-5.228398088777526,-4.970381893776603,-4.9194233724381125,-4.903328870420149,-4.881002827038155,-4.873903488379685,-4.855904602198765,-4.823004936939355,-4.82011546079985,-4.813277325037073,-4.801402397405274,-4.771017031647155,-4.701853276985199,-4.618501862478141,-4.534570300111348,-4.466690717680715,-4.4217098929684,-4.402719467499417,-4.396420498189478,-4.402435280538525,-4.408203030649817,-4.404259713349399,-4.404122182290429,-4.395136021607545,-4.3696927360132065,-4.350479559953877,-4.315606361316532,-4.2724939477577415,-4.213820199236646,-4.159005782491862,-4.083472058715105,-3.9912451004642286
-1.5566339688006297,-5.312565801274,-5.533037231496375,-5.253688254500318,-5.0255286881628995,-4.8507227308788865,-4.671415624538319,-4.384586588990344,-4.34571173726198,-4.338113694202053,-4.319945726553045,-4.318435859160693,-4.30322811553693,-4.271324302312812,-4.272516914259429,-4.268393468676377,-4.258413701085377,-4.228400136063662,-4.157452321518877,-4.072510595166862,-3.9885257551103326,-3.9215074598659605,-3.8786931465808268,-3.8624462655039746,-3.85883298165657,-3.867606254907969,-3.8757065267903408,-3.8736301969165114,-3.875243118356188,-3.867766983824287,-3.8434878756481385,-3.826101288117901,-3.792324507340973,-3.7501456015729175,-3.6923128275781516,-3.6390321751288255,-3.5642246334411922,-3.4718338207447794
-2.996665704141584,-5.982403121099987,-6.097255889411145,-5.830214840662748,-5.617090509904978,-5.454041393176783,-5.2893578727083215,-5.036561526532205,-4.981420308400829,-4.963233909344168,-4.939979211233488,-4.931306032737892,-4.9128438764362485,-4.8801922349883275,-4.875894824445134,-4.868401915271909,-4.8562354713021145,-4.826608588989793,-4.760051786159682,-4.679423459050535,-4.59784988093985,-4.531537580828946,-4.487148764280082,-4.467862845490051,-4.461168852311157,-4.466380922696036,-4.471668565020557,-4.467782138021202,-4.467337588495261,-4.458678257500653,-4.434217952688838,-4.415289514561685,-4.381745373050044,-4.340138832824899,-4.283555088323753,-4.230249322371808,-4.1574418980371615,-4.068457340512771
-2.27851455475494,-5.988399693122071,-6.260034024312782,-6.0312842677038825,-5.836325389549306,-5.683034564746224,-5.518085265794243,-5.23906626649595,-5.202237287592132,-5.196809632534497,-5.180806429617203,-5.181397332616601,-5.167777390365938,-5.136897353696916,-5.139934899609638,-5.137328399088712,-5.128512325917996,-5.09860295999158,-5.025298800529196,-4.936674881161094,-4.848065591045446,-4.777474572028813,-4.732726863428454,-4.716752382197361,-4.713991646814463,-4.724629977151168,-4.7340812962045415,-4.732247360649518,-4.7348879663611765,-4.727045943056105,-4.700892679001956,-4.682541664558408,-4.645938368090724,-4.600319367911642,-4.537326843133857,-4.479595396645765,-4.3971074347948145,-4.295167803283839
-1.479351959708493,-5.280105463034703,-5.775591197343806,-5.614865706534219,-5.445122810595616,-5.302299419775387,-5.1555867972281995,-4.941540099931443,-4.8591514924381025,-4.825072306449456,-4.790666163596995,-4.7669227582379605,-4.7390317515204545,-4.699827461324108,-4.681324193887575,-4.66411342263373,-4.643206362399573,-4.610099161066179,-4.548975540035424,-4.474081624217573,-4.397315738801749,-4.332063934230469,-4.284762768970352,-4.258051377814927,-4.243900819322782,-4.239761831749703,-4.237835409022718,-4.229780158396556,-4.223250408730517,-4.212564870940458,-4.189687668140601,-4.169064414174532,-4.139615488271191,-4.102506884513313,-4.053722720824852,-4.005698308482297,-3.9449991110202136,-3.870146288555968
-5.168243601430673,-8.518422972847597,-8.529968961615648,-8.300291812670626,-8.112379467843182,-7.9650752582734246,-7.820950921256576,-7.611647410043539,-7.544483260022729,-7.514613813468178,-7.481947041534629,-7.459051375195487,-7.431617360880501,-7.394493316444039,-7.376680177022553,-7.359012595577858,-7.338752344065349,-7.307333625069926,-7.24912714071818,-7.177318115932426,-7.101435826521997,-7.036540831379491,-6.988501125980338,-6.961666118674056,-6.946600989842275,-6.941494404173694,-6.937856127852654,-6.927619614141256,-6.920398566295833,-6.907882283335805,-6.882688938217808,-6.8600623160278404,-6.827213095468777,-6.787008961480926,-6.733046196665646,-6.6795226502944045,-6.609487225682928,-6.523031416234641
-1.9579418579931263,-5.896537021848711,-6.141450446306963,-5.882537760358233,-5.664258684369091,-5.494717845871671,-5.318232105699779,-5.028842540525534,-4.988837959317646,-4.988692988612863,-4.978764510124313,-4.985088668501244,-4.977559291732083,-4.951992278895686,-4.95946859200874,-4.9619494022433,-4.957539352759253,-4.931978774439938,-4.86315037277603,-4.778163919457107,-4.692980495197011,-4.625148991298473,-4.583080775438035,-4.569733400259095,-4.56999303808193,-4.583325007379566,-4.595670610156103,-4.596710928252573,-4.601504336382101,-4.596118203694366,-4.572396535782658,-4.555907361749935,-4.5217813979294235,-4.478319262511214,-4.417694454123953,-4.362147689122102,-4.28253800788283,-4.183226282681866
-0.4382473522588124,-4.427248711484017,-4.834130284230677,-4.629765285555748,-4.446831420600518,-4.303216929596748,-4.152497603276984,-3.908191085462369,-3.8637536267557095,-3.85370083924234,-3.835435538770501,-3.8306361217913736,-3.8153488822744195,-3.785266666910907,-3.782583216502952,-3.7770577438187654,-3.766339223289769,-3.739036004297731,-3.6770439061329863,-3.6019283490132272,-3.527185684932923,-3.4665048138220107,-3.4269615474762847,-3.4105377868882782,-3.4060152138219473,-3.412488806716926,-3.419314590723756,-3.4178389285188686,-3.418831698103665,-3.4129583730167714,-3.3927763660991133,-3.3778897382275463,-3.3497327601547435,-3.3137239894402866,-3.2645089477761227,-3.2183716278750394,-3.154619869774591,-3.0748721884635053
