0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
-10.419290196262885,-11.55304404452518,-12.51778726577279,-11.520894366471751,-9.641684446547783,-9.34258725878393,-8.933209655828867,-8.908902109974498,-8.880155522029316,-8.943761675554697,-8.99777517183476,-9.044171253338796,-9.17429161497361,-9.25557571130047,-9.344436027872113,-9.446060583691192,-9.546093146322534,-9.634346083850705,-9.704175750822724,-9.754621976012492,-9.790055504400026,-9.815748166349866,-9.837283835776187,-9.856990333712153,-9.877212151633026,-9.898424217600637,-9.920614353425236,-9.94251015317885,-9.964724717280081,-9.957044385118248,-9.793869392303876,-9.65413137715914,-9.550008969013557,-9.484595558069033,-9.429105518391626,-9.387311655859927,-9.333883175573757,-9.306228023981276,-9.179990008045646,-9.116470617227321,-8.945804998220432,-8.927442131923698,-8.965093416930536,-8.992582397059632
-10.81261896685568,-11.599900182946127,-12.65262321095397,-11.503275208513443,-9.561407808811168,-9.28791308732566,-9.011570141848738,-8.987115155779806,-8.964729418446819,-8.999813408986803,-9.030554190160778,-9.05781497312509,-9.139619092350738,-9.201662852130479,-9.276695051357855,-9.365567551121918,-9.456183391811777,-9.538495318331606,-9.605004947368732,-9.653597229290533,-9.687898971318736,-9.712825119241803,-9.733825713249358,-9.753145974045541,-9.773128220580723,-9.794232760508983,-9.81643383395149,-9.83840072665246,-9.860785245749346,-9.850900405978532,-9.679134130281131,-9.5401980851443,-9.445021019759473,-9.387964076980325,-9.341226461356888,-9.306554171991042,-9.265240987428054,-9.243142189094513,-9.159231161338315,-9.114973668224525,-9.007376213469884,-8.986247168190808,-9.003218227312328,-9.017558091396047
-11.819889589592629,-12.584373859005137,-12.98553290319079,-11.632943931926102,-9.705754855519778,-9.384697932504308,-9.211844991772747,-9.167108260408671,-9.14236713600063,-9.144521792757702,-9.152991515952248,-9.164938199820833,-9.211654835788323,-9.275188291247945,-9.360877298614312,-9.459705184439525,-9.55880875575872,-9.647575905634053,-9.71869130321511,-9.770217439899934,-9.806166028879485,-9.832025196914742,-9.853578161593123,-9.873419856309422,-9.893869948416867,-9.91550721057852,-9.938251655555664,-9.960780042786855,-9.983593225561163,-9.973382321167172,-9.796134465735609,-9.642688958990862,-9.543942677700597,-9.485353140585492,-9.439362293862583,-9.403948339877298,-9.36634454804615,-9.342423108171676,-9.2877084607821,-9.249246038011936,-9.190573491508042,-9.156594568889322,-9.149045347909357,-9.149467053179734
-10.163708811180246,-11.902579917800892,-12.80218040408218,-11.423435754186839,-9.48053561976424,-9.211454840173595,-8.645738296055251,-8.632261096149605,-8.614113410531637,-8.723537987200437,-8.815408194362105,-8.891795682925506,-9.088135461948424,-9.19475633289822,-9.288641472918219,-9.38941629743168,-9.487960045796722,-9.575587102576812,-9.645580070536369,-9.696516785222533,-9.732604586193924,-9.759026173498018,-9.781421256832564,-9.802014272903854,-9.82320862150445,-9.845429380064434,-9.868641547055379,-9.891489946502661,-9.91467206535241,-9.905674470284055,-9.728978636136745,-9.583887349969311,-9.482161262496366,-9.419286810645714,-9.361992821416031,-9.318342805124594,-9.258955231397472,-9.231623480362927,-9.065486885393952,-8.987641644969656,-8.756193085517495,-8.756649507251762,-8.829576409313045,-8.878512521409533
-6.420550731834566,-8.290914520257335,-9.514693618293238,-9.385857877833669,-7.7860066319775605,-7.629251857103567,-6.755599697544106,-6.84327480357336,-6.831447317600675,-7.0054385349684605,-7.139211454301144,-7.243149860487058,-7.56271822625094,-7.6033112411908945,-7.573964341285052,-7.56839783041754,-7.590325791848926,-7.631787197081852,-7.678864839604849,-7.723426398573256,-7.762817443653365,-7.796384858784926,-7.826108679099827,-7.852280520175778,-7.877103592036185,-7.900751879955077,-7.923854513975272,-7.945867024510305,-7.967956010428825,-7.97545626293585,-7.888315869205437,-7.886088866919584,-7.848173509536107,-7.806296095043816,-7.744547046861431,-7.709193912379272,-7.634437052105568,-7.625877624125726,-7.314130329756516,-7.2285021158012235,-6.8026875335064005,-6.795880705394264,-6.929441279982134,-7.023604612667526
-5.14334572649015,-5.207004664079756,-5.705481443634632,-7.317907677838324,-6.8954146653215,-6.783825505644575,-6.648266748620822,-6.779831881288942,-6.762297899508212,-6.764211598824689,-6.732294097043225,-6.686762850686992,-6.628422150400246,-6.401841328844913,-6.20093382621145,-6.081971410305179,-6.031098682353842,-6.0286482690904695,-6.053140844061197,-6.090478094651079,-6.131471559905652,-6.170497057429484,-6.2056352017200975,-6.236095826457873,-6.263209585953263,-6.287317353128462,-6.309558016543003,-6.330465111084246,-6.3509314060603534,-6.382320458034837,-6.468464510176657,-6.635875337007353,-6.6810996417881565,-6.677166772300641,-6.6657001649430665,-6.679029228877953,-6.678746322798735,-6.702064860954037,-6.630577161545181,-6.657780271196898,-6.5195257989995445,-6.464195446657801,-6.470435301281983,-6.480820746376237
-1.0937151283620767,-2.8306367594249515,-2.6160879491341564,-4.981636744593114,-4.452520035510622,-4.4166818049284595,-4.352398756124829,-4.620581351519226,-4.678435843184882,-4.734922993542468,-4.735502193544445,-4.711022622149616,-4.655812681293243,-4.375216329720451,-4.099896911701335,-3.9202783787181446,-3.828497870939085,-3.8030564311406545,-3.8166500318485825,-3.8505787806394878,-3.8922353831222427,-3.9333506909955993,-3.970655260386452,-4.002389373011411,-4.030041137643214,-4.053721301269382,-4.074846574322367,-4.094156870453789,-4.11304439429001,-4.14836097721655,-4.29449551020463,-4.560389426836655,-4.670770434161728,-4.709144167356741,-4.732889912060348,-4.778720541737644,-4.811998505731523,-4.862382898974103,-4.833925419056282,-4.911993658080467,-4.860141411875317,-4.899533082945684,-4.947523542219681,-4.972649722066258
-1.5266381283865444,-4.811791708223829,-4.470288110907708,-4.577910571218801,-3.842746880639842,-3.7469714366982547,-3.4715203857389714,-3.652203173294005,-3.6855373497929227,-3.7537785094460867,-3.7761669002284766,-3.7772948729929485,-3.8121467000781024,-3.6821190857059563,-3.541994380080734,-3.4558166844067246,-3.4213157684122093,-3.427789754012105,-3.4577858292867294,-3.498758147606022,-3.5431218378443914,-3.5858779984406803,-3.625820083668385,-3.66160301589552,-3.6947985679997526,-3.7253959923376296,-3.7542607724829633,-3.7813485524003827,-3.80810616936588,-3.8286533863854224,-3.8251633118681534,-3.942522092751913,-3.9879136548963032,-3.993743649037791,-3.9818141795501756,-3.9931209814513764,-3.989049186912638,-4.015639830517777,-3.9382079951735367,-3.9783858775367413,-3.891308779198374,-3.932191898016125,-3.9929039443413403,-4.0258214822588005
-4.553590419877387,-5.473703448189493,-5.8795792243865,-7.239934573379784,-6.151677650697672,-6.016454296074844,-5.960502237400427,-6.120807562860624,-6.132576656609228,-6.151533668251428,-6.132801927060278,-6.0978266222254325,-6.0340625462655755,-5.797976764294256,-5.577592221884496,-5.436013341962003,-5.364916361133396,-5.345416686382375,-5.355815724673871,-5.3814715476914845,-5.412523895517344,-5.442963774957803,-5.470347008905603,-5.493802128138498,-5.514258473312275,-5.5320378865611834,-5.548187551635149,-5.56338992814811,-5.578320999292137,-5.61199558746976,-5.753242601535001,-5.9466039448709616,-6.02057923041619,-6.04231578405712,-6.05728046067001,-6.088005802320362,-6.10938762147863,-6.142247056305919,-6.108854901234176,-6.150312855628979,-6.058290769850595,-6.0347075474255,-6.054356351885696,-6.0706400043855595
-6.365986990850714,-7.033732121061195,-7.705936096977595,-8.592514711097857,-7.4965936995600835,-7.344989484443529,-7.219559472892735,-7.32401719872956,-7.325269322376066,-7.339130046960836,-7.327796427036425,-7.306371600551408,-7.294290021779936,-7.166354156077674,-7.043027590844249,-6.970588855965197,-6.942460834063725,-6.945353636927045,-6.964100673003717,-6.988893655687383,-7.014166923672002,-7.036889757991544,-7.0566377115284595,-7.07320153495567,-7.087885783139159,-7.1010201826621255,-7.113346065654968,-7.125019967446825,-7.136837478755318,-7.150947997527705,-7.173212876136645,-7.267032372993789,-7.294761288119318,-7.288695025115565,-7.273079505511829,-7.277040578311684,-7.270168324043883,-7.28548857004516,-7.21851009273122,-7.231344908781203,-7.11416446440907,-7.060603269526638,-7.065198966388733,-7.0754355669174025
