0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-16.353907833748195,-16.67415757800881,-16.16642331370107,-15.602326096732785,-15.263743051653076,-15.095412034893872,-15.023137828490203,-14.949050766915214,-14.86272046653859,-14.811690178743952,-14.787371673620601,-14.737523339324472,-14.596808486069822,-14.409464075069618,-14.578941991613828,-14.980046548307726,-14.92010285903605,-15.164507821148622,-15.917237109893243,-16.217544292184183,-16.37245831407306,-15.400463343440169,-15.204058749574482,-15.153119551396237,-15.044959572310692,-14.850942912108653,-14.58638770974557,-14.36729181087296,-14.111097882277054,-13.683007918908661,-13.633977550147584,-14.047814079405331,-14.565443200493789,-15.025403326619038,-15.170207860266377,-15.381720356680919,-15.183424199000555,-15.142962153360774
-15.546389220278634,-16.1397423717855,-15.24342984633795,-14.070294745192719,-13.766368271213679,-13.74896411182181,-13.6694570287599,-13.526241045029234,-13.321165190247505,-13.129568964838004,-12.965566527406011,-12.80285928405906,-12.668344678237322,-12.621721886121556,-12.971962395267546,-13.53932234635979,-13.564278903527711,-13.970610221607302,-14.946040912220717,-15.395845208264383,-15.400987936981885,-13.960036611743458,-13.628580576619992,-13.54377616128506,-13.440813883126683,-13.27736398853235,-13.068636919665945,-12.89774461659125,-12.681566245899806,-12.491557925457087,-12.518916982053899,-12.975760024805805,-13.59057417722019,-14.10234020877327,-14.021239110281947,-14.0944725561016,-13.699971973555268,-13.647912648002677
-17.985561552862837,-17.53742503318427,-16.929143559504016,-16.774639668986087,-16.64746407682081,-16.46104420661299,-16.422001992179375,-16.4280669185369,-16.45936439290926,-16.51570109274488,-16.579847557793833,-16.63530257434101,-16.64674628194206,-16.581619223203628,-16.5595196871139,-16.714530824807966,-16.777911464314304,-16.78932979501171,-16.91887720876211,-17.012145008776205,-17.300050583709222,-17.019414674089024,-17.06037716602512,-17.046591514712993,-16.9747767043799,-16.836647841396207,-16.634791097063207,-16.418427551008616,-16.17136197224131,-15.787911937593897,-15.705921637000142,-15.739551349322916,-15.969833716690449,-16.31168039177456,-16.50585000148172,-16.721833512518174,-16.74619282508121,-16.812378068738116
-14.730920564340721,-15.700334739706264,-14.90795380848584,-13.38623482023857,-13.014577770021099,-12.980050320113993,-12.902992743183923,-12.76060548891277,-12.554830322361212,-12.36587591282158,-12.214065044968407,-12.07819798401383,-12.004797845883079,-12.05613462837097,-12.447838651386409,-12.994044002215986,-12.767425517126846,-13.208467111543268,-14.320287696396491,-14.92139074512042,-14.785207639385696,-13.08642627861554,-12.825303762443493,-12.773649539719472,-12.715936821942869,-12.621107791715609,-12.513221099932501,-12.416190026794663,-12.177122877358606,-12.042455660573413,-12.12657507937017,-12.420548222958615,-12.937301295360033,-13.430048523010704,-13.255864398354113,-13.25099411000041,-12.840832683612664,-12.816827947767855
-14.051631673051716,-15.283218830052572,-14.330025065629464,-12.579489745472639,-12.259899781941538,-12.25017077366282,-12.181942273454261,-12.036093587141643,-11.821049117176667,-11.62276674413383,-11.47418873282712,-11.364133268629097,-11.351391557752635,-11.486117682324,-11.89447749879179,-12.332909528412564,-11.982216822217204,-12.458358863828078,-13.579802188144246,-14.307549087678161,-14.115472247950542,-12.447573566753999,-12.243953051656153,-12.177894652797963,-12.114292820419454,-12.027303008454567,-11.939258751305864,-11.836563321402984,-11.482089217876794,-11.357832216398595,-11.492818177829932,-11.770380257381483,-12.292899938443039,-12.75369649244535,-12.416999116509334,-12.335679428785397,-12.015365236752608,-12.06298770857931
-12.419904137299152,-14.55277217875284,-12.669301687865563,-11.01046973512382,-10.716955543571299,-10.66972568891481,-10.612638225479657,-10.492130339622854,-10.327353368712455,-10.19488458981105,-10.122168060566406,-10.10942053375507,-10.227209242290716,-10.515459995100109,-10.89751089285047,-10.916120750810514,-10.311280443159443,-10.899839028469305,-12.273769546128364,-13.202325981693836,-12.918862143414799,-11.176997361769565,-10.852653208896132,-10.709091800679737,-10.590035419906577,-10.470979511728459,-10.376664346532703,-10.311705444090844,-9.972823691408593,-9.631222073305732,-9.479754735594614,-9.414762078756485,-10.190561338978984,-10.969669251625405,-10.767395758588076,-10.61807162824654,-10.143370534185294,-10.256972600945325
-7.992201499493995,-10.732508500717312,-8.698927149909668,-8.060969583532604,-8.083069330332737,-8.127661772852015,-8.106270896267027,-8.036349115658595,-7.933284322998719,-7.827892046241662,-7.761834657428721,-7.765052582633923,-7.948116542200553,-8.40396659252103,-8.835279380810196,-8.07279193911462,-6.2501234549806375,-6.338484310678228,-7.336301628356236,-8.542717249899336,-8.900046083598085,-8.581661107713039,-8.506208358098355,-8.373115918663327,-8.276157597433333,-8.19835172727569,-8.121555411916265,-7.904850187655929,-6.818864275413346,-5.821658758731886,-4.612773084372946,-3.6216005954197206,-4.142139331876742,-4.962529587028832,-4.920999660058624,-5.668232401129662,-6.362390825088421,-7.1237630625391954
-15.881242798556038,-16.600449606234733,-15.838904660803117,-14.953981078023215,-14.657530179204212,-14.450561959313156,-14.351776176921732,-14.250417825078358,-14.131294913331118,-14.052706667088849,-13.995890483808378,-13.887317315026802,-13.671170459596212,-13.397484472376544,-13.582948254650649,-14.258880434581119,-14.613390356181199,-14.936221028374973,-15.776689302853072,-16.19333538947621,-16.174053071436163,-14.921882169020694,-14.682455219152693,-14.571012346288288,-14.391495078568465,-14.106043259366565,-13.733118761448534,-13.441043806777344,-13.279411418619254,-13.073411411736313,-12.96393154611626,-13.393141555450917,-14.004237321162488,-14.61065520438671,-14.74484477259864,-14.735893399870474,-14.478720494351613,-14.486434207364617
-13.642630544545074,-15.298857867343422,-13.682366279968843,-11.942743085932982,-11.636083268359407,-11.555739996505071,-11.485095714304435,-11.346442514359023,-11.155408949604155,-11.006903216078047,-10.932672688873442,-10.910631184009826,-10.955451595473548,-11.086754083317814,-11.374694840643265,-11.696839542211123,-11.507064649616876,-12.029387033098114,-13.3493638745324,-14.133609188744405,-13.756386218578278,-12.064259051213675,-11.884340405424979,-11.771442655143016,-11.633778143233393,-11.455125529360501,-11.274911563657469,-11.137952821436347,-10.825278820766897,-10.537464633808575,-10.4379162582205,-10.545542412914163,-11.246447143151016,-12.017584775616331,-11.85495577074645,-11.615271914450279,-11.208298409928972,-11.279150424620688
-13.181430810040787,-14.825848159069409,-12.503819784885849,-11.05523022272401,-10.884780473035768,-10.872267228580462,-10.818659603655384,-10.685083946462978,-10.496160958372645,-10.345787496511853,-10.262657218700223,-10.240545195971485,-10.3767578945425,-10.68622027400847,-10.965001492129609,-10.957954316533097,-10.267422591058832,-10.703538292901001,-12.05596641240027,-12.98480449732698,-12.870277621821664,-11.336965227084047,-11.164602764682368,-11.06281517920911,-10.973385382262638,-10.876275816080891,-10.796425140163834,-10.730297330343312,-10.416017586483125,-9.867985488017865,-9.493688538723632,-9.536171635077757,-10.374925894847728,-11.177084311513635,-10.98892954763878,-10.81627114246957,-10.48607887036416,-10.573157920458144
