0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-4.38950699292662,-4.496031424069573,-4.177741557475615,-4.027398319689253,-3.9961065259791084,-3.994012438651608,-3.9907532466106077,-3.986784446026648,-3.9822445950749183,-3.9746738025381116,-3.968562040731654,-3.962078078346886,-3.9597531293787993,-3.955381598896387,-3.952959406682554,-3.9502707417690837,-3.9490009273024134,-3.948689845416032,-3.951098997756226,-3.952554597301492,-3.955553090504928,-3.956528362835623,-3.9581059728865333,-3.9580949450944063
-4.064682323088329,-4.082490762807067,-3.9225591385567973,-3.8078150480385125,-3.789810842612939,-3.797769384774587,-3.801897930629428,-3.8035157233709267,-3.803190904349464,-3.798638270274558,-3.795080221316925,-3.790604737804405,-3.7904191802131315,-3.787473193823198,-3.7864707745976167,-3.7847068318773482,-3.784432682143911,-3.785175834840351,-3.789015081542093,-3.791821500909811,-3.795942791064056,-3.797812798557144,-3.800235547173216,-3.800610736288081
-5.385489144784141,-5.691748379324574,-5.280822744673816,-5.139925964432603,-5.129143495078122,-5.134902649837366,-5.137885489659461,-5.138407409410119,-5.137350470665881,-5.134456693960015,-5.131976290307518,-5.129347686610165,-5.128592714220904,-5.126972276489445,-5.12596915159582,-5.1252894007555385,-5.125223099146575,-5.125630704704481,-5.1272930607881015,-5.128235574182572,-5.130184047917618,-5.1311686969970625,-5.132311674853022,-5.132727902260465
-4.103767358474396,-3.9732499939784884,-3.8071240803265427,-3.7223345643692527,-3.700395115306349,-3.700174403733117,-3.695338638919465,-3.6894484921392783,-3.6829152873801485,-3.6727705519837457,-3.664386294393466,-3.6555118095008017,-3.6517277296831274,-3.6454242157746126,-3.6417416034564756,-3.637616895359436,-3.635183981330562,-3.6338681012530683,-3.6357712520584107,-3.636680865127371,-3.6394093585589147,-3.6398004973213016,-3.641067625079426,-3.640582087460367
-3.6627691740035084,-3.2496284661241224,-3.275889890124685,-3.253602124755641,-3.2466150059048777,-3.254102473087978,-3.251937236909516,-3.2471642180995817,-3.2406496993143588,-3.2291420806438094,-3.2195200837521165,-3.208938488670759,-3.2046915965640066,-3.1968996956103988,-3.192460449641297,-3.18703623114631,-3.183754322889901,-3.1818930269437,-3.1841906529354738,-3.1854236423484377,-3.188559822841593,-3.188775637532909,-3.1901260181722515,-3.1891815277749846
-4.408262146387392,-4.0738480037897595,-3.6759424537334398,-3.5295765962486683,-3.5313123322611872,-3.5620242594443496,-3.5835537168333156,-3.596526710132096,-3.602112304029495,-3.5990727732332486,-3.5960837939299437,-3.5907096505330998,-3.591415524102994,-3.5874607375845193,-3.5859438595382693,-3.583115729162007,-3.582528372296309,-3.583767000300694,-3.5901207260245895,-3.595106781613727,-3.6018420834007028,-3.605096957854242,-3.6089852866844456,-3.609245932471018
-4.337719671655115,-3.750557938053994,-3.602547222951718,-3.695328478106112,-3.7583074966851706,-3.804626011427631,-3.8269861186021212,-3.8385996022422626,-3.8434081006408767,-3.8408408107822427,-3.8384287189088195,-3.8338586467563562,-3.8346260906733214,-3.831158673915933,-3.8303774350591504,-3.8278368310363673,-3.8272709469179045,-3.8280366047336827,-3.832814784868237,-3.8366706133058948,-3.8416413671829543,-3.843676802452213,-3.846554133944138,-3.846803626272823
-5.2529827263984,-5.538590514478754,-5.248349403654373,-5.155702956633062,-5.156010215826106,-5.169842442275271,-5.175622504975504,-5.176911355796147,-5.175170405284106,-5.169837302590832,-5.165202164739287,-5.159925038551536,-5.158207455148932,-5.1545609022222285,-5.152367009154453,-5.150111133603026,-5.1491085652165705,-5.149011117749366,-5.151430393982812,-5.152871779170875,-5.155759819150049,-5.156685661057804,-5.158093735963014,-5.158161352600374
-4.820336316499164,-4.747662350643619,-4.485423939260313,-4.479328915261237,-4.512549540489404,-4.543978796442765,-4.559551143643436,-4.567353151472021,-4.570173000472678,-4.567545596184339,-4.565222226449542,-4.561444147011665,-4.561869295251588,-4.559219282165728,-4.558469581191334,-4.556728805403152,-4.5565583521676185,-4.557456383778394,-4.56153253817774,-4.5646401980904585,-4.568917128647973,-4.570743655911121,-4.573164374214793,-4.573583816360641
-4.947709696910193,-4.526272647766513,-4.093163078136717,-4.007280632652033,-4.029740981648288,-4.0699189608682165,-4.094188803150348,-4.107597445321191,-4.112050577510974,-4.106717737290669,-4.101335207153818,-4.09306891695311,-4.091835593904198,-4.0852580502672975,-4.081664049755852,-4.076481691887128,-4.073925564784762,-4.073436329414851,-4.078775803302149,-4.082706044280965,-4.0886173101971135,-4.090431751546287,-4.093209216266619,-4.092208525611729
-4.941160955739193,-4.362431828862633,-3.9792180189377473,-3.964773699666364,-4.014295726053866,-4.0678970596099155,-4.099415444576368,-4.117526896824973,-4.125433101095821,-4.123141525639509,-4.120433541843385,-4.11462554637237,-4.115477320657874,-4.111005591017669,-4.109388189103491,-4.106067619036727,-4.105169412550894,-4.1061586360069295,-4.112576437584126,-4.117665625937207,-4.124473532886312,-4.127348538407594,-4.131109516272016,-4.131291348084364
