MAE,MAPE,MSE,RMSE
458.9711827191311,5.942740537731854,468293.1674242853,684.3194922141889
1030.5074527189586,15.36381276759996,1213969.6853375915,1101.8029249088022
666.2833894046516,10.733726321743777,631905.1904984479,794.9246445408821
1025.5256189397046,18.24154011015646,1414036.41669089,1189.1326320856265
1016.9609724708364,18.397985916256083,1197873.9617200363,1094.4742855453646
1068.8496289453237,19.816005263757507,1278115.026881069,1130.5374946816532
478.5019259817186,9.252482519235569,387502.38738731924,622.4968974921235
301.85351675381116,5.799056453055659,104786.43240194663,323.707325221328
1534.7869824929385,30.612666530604944,2830276.461953194,1682.3425519058817
567.4008497880859,11.247586880233564,361815.14151073253,601.5107160398163
214.85261120369842,4.0473805887489,69292.25501463485,263.23422082745026
713.015596909682,11.255019866626926,849951.3138377368,921.9280415725171
1175.757748517451,16.73665481682548,2085486.5496943262,1444.1213763719193
2119.6907817230995,24.19491215649033,7542273.641558044,2746.3200180528934
2909.3583756553066,31.095226832507105,10914025.222585712,3303.638179732416
3718.686031226236,30.51640235584403,21419154.737031505,4628.083268160968
6045.889678164837,43.34675389674857,45979183.80980034,6780.795219574201
5619.796902040627,33.35954092604191,44449355.39674391,6667.034977915138
8000.110108297167,48.450793974666944,66770483.04102189,8171.320764785941
2964.8023639433277,16.923798310773954,9905201.443596065,3147.25299961666
2611.197136136755,13.00158678689327,10650100.813889822,3263.4492203632985
2935.602244468704,13.439568841215344,13222626.660021013,3636.2929832483264
6716.694639827223,31.058854698945975,47580356.12765445,6897.851558830072
6702.493969943992,29.900628106661532,46912323.849688366,6849.257175029155
1124.9185017550144,4.860043402873418,3768962.963545049,1941.3817150537525
