MAE,MAPE,MSE,RMSE
405.52234255651314,35.45229587154436,181326.15404303593,425.8240881432566
281.4582838358518,23.831317121618923,99489.93545084939,315.4202521253976
187.90034081832766,20.851238519683214,54462.191805096314,233.37136029319518
151.7194251920166,16.087966419080757,35367.02564050272,188.06122843505707
242.42303366746324,31.244636723015205,68011.32027380563,260.7898009390046
46.90231722086318,6.488109524982217,2726.569083563838,52.216559476509346
60.57219825371547,8.110902101353751,4650.960974349368,68.19795432671987
196.24245633183347,27.264087551539234,42606.449511823965,206.41329780763633
169.71186594517906,26.989299925930858,33059.702441634945,181.82327255231917
76.19941408505946,11.38814186850917,6944.160640235694,83.33163049068278
238.47734967416133,41.82063269824886,67468.31694440845,259.746639909756
99.45294505742473,22.126970059116122,15328.616286230652,123.80878921236025
140.87460349179284,30.06315651092254,26938.84588953323,164.13057573021922
347.2289239089265,94.15257534722996,133140.01903541968,364.8835691496942
117.90721673043166,33.06242316012714,17500.392483017935,132.28904899128247
74.44683866446701,16.45479192637198,7939.150677627391,89.10191175068799
89.26745733660044,15.971900566632618,13150.535418703,114.67578392451914
153.2462330270863,24.4827730156912,32363.78091866344,179.89936330811025
240.13821574484479,36.03844620927724,70273.98705394451,265.0924122904021
156.30305054367543,23.073988072765157,44401.1622904766,210.71583303225364
75.5893802963515,10.39817394800437,9764.127818320614,98.81360138321351
87.93371220784016,12.256909175135966,15663.296623977707,125.15309274635489
247.8120590855442,23.885183029010136,113159.93107578528,336.39252529713747
392.8937415669926,36.57531586483575,192462.1714785136,438.7051076503596
426.53331534705774,36.843014505118774,211952.534449711,460.3830301495821
354.9811902125542,29.42674212404005,138444.80571944738,372.081719141706
