MAE,MAPE,MSE,RMSE
103.00149765026616,44.27078583894343,11104.14717669183,105.37621732009471
66.07211928179595,26.84946215509999,5310.702184118933,72.87456472678882
44.99440438330972,19.00049955406886,2819.7257724168235,53.10109012456169
46.40016132959985,30.456532682853478,4182.604246153845,64.67305657036665
29.16972783173462,14.159729050035008,1096.6092178831996,33.115090485807215
81.09590015224144,55.12747248603862,7643.691680747195,87.42820872434248
30.673325095348552,25.175925850841075,1710.3724514741166,41.35664942272423
18.25098593772343,14.142744654625142,474.6617958710758,21.786734401260684
13.313895095232024,13.256472882371867,216.6249079197894,14.718182901424665
25.814762029311364,27.212318322986363,718.4178952325042,26.803318735419765
28.85437298314117,30.74898323478006,954.3701160846393,30.892881317297668
29.820769630066124,31.604524650042897,989.5043712513157,31.456388401266214
44.286533944713725,46.21655349733645,3153.754425765004,56.15829792439408
59.91767948334949,59.83028965109792,4806.386798063362,69.32810972515666
46.64883327565812,44.002465477240484,2826.9811772614507,53.16936314515579
28.494490999159837,23.77723854030411,902.221250718001,30.036998031061643
20.856176830269437,14.418537097689907,601.702091589158,24.529616621324475
12.018646256787001,7.556919846105598,162.039756030471,12.729483729926796
12.653479271713223,7.270360636061183,244.36905407997727,15.632308021529555
22.080824281441863,10.373408746120536,765.9222063931397,27.67529957187708
28.377845552895565,11.779915724621173,1073.1312442664266,32.758681967784156
66.4384612574943,21.45488859745413,8977.309955763192,94.74866730336207
78.79790107541226,27.61855651425047,7673.880966967358,87.60069044800593
103.50148133481858,29.804133336483453,19985.44282932071,141.36987949814738
136.88215313964685,38.70313285760685,25007.396318044186,158.137270490053
56.922033043941525,19.387481375239773,3657.338081907155,60.47592977298617
