MAE,MAPE,MSE,RMSE
26.71997558015633,24.611089014535988,1098.3820580459499,33.14184753519257
54.31107458507549,44.54543987578327,4210.674666632827,64.88971156225637
35.78211780093553,30.949786043245386,1625.2245444662751,40.31407377661398
69.79323652610293,56.15222769218627,5205.103991222576,72.14640664109736
25.892179234337767,17.169393250626484,1048.0913112548042,32.37423838879927
39.61622507202807,27.72559380095853,1755.628432941694,41.90021996292733
24.071545054082286,16.216989184333944,703.8744599872066,26.530632483738614
64.7130465129051,41.80790304868761,4311.829333458416,65.66452111649346
24.009325928040226,14.47212963303146,655.3418222580319,25.599644963515253
37.11738978907234,18.07305166151284,1919.5407132543198,43.81256341797772
56.64612537915355,22.58393391898697,5582.652294230387,74.7171485954221
50.61892857090279,18.707956633290557,3307.7176732735015,57.51276096027299
113.2348187163272,31.75906161290152,20114.022044855676,141.82391210531344
194.9294634370956,39.22346006202461,67602.93301102989,260.0056403446469
350.5108766961748,54.520430514721326,182609.08356373248,427.32784084790507
398.5429064990517,52.090714301342004,209803.5312796337,458.0431543857344
436.71692171897115,44.89236710054505,260363.57246252501,510.25833894462227
472.08304191847316,43.214957140436695,274174.4602151253,523.6167111686996
390.29098225500337,34.09714210619608,187723.78641934533,433.27103113333726
461.14654841782453,42.09923406554162,216880.30842524258,465.70409964401495
92.75365040410293,8.634343548910376,13763.129727784315,117.31636598439415
58.017560929945915,5.954876599326467,5115.330713409658,71.52154020579854
224.22735575848128,24.010481349588275,67631.41668491135,260.0604096838105
267.6470125429407,30.430754920291058,80456.18607819821,283.6479967815712
131.13728894781758,19.71622374816524,21704.13790316026,147.32324291557072
232.3600464234464,42.302541257688425,63718.20791816074,252.4246579044146
