MAE,MAPE,MSE,RMSE
1173.8339882443825,15.818536337182524,1669837.08288618,1292.2217622707722
539.4296390812519,7.023850489486322,556054.4070245998,745.690557151289
1030.4353482840193,15.384366271028954,1238842.5389506419,1113.0330358756842
772.2726945528464,12.195625658772828,658560.3824911644,811.5173334508415
249.1022291184754,4.295375330764915,75913.62543876744,275.52427377414034
280.7599257980103,4.946768666169748,152456.19762014208,390.45639656707135
515.3476199673203,9.452635925393201,432853.645864384,657.916138929867
603.024983703807,11.862323956136459,508883.0093476825,713.3603642954117
684.570968470872,13.037566557904901,495750.42749363306,704.0954675991268
1737.994766467251,34.67308611155811,3607605.09241397,1899.3696566003075
1564.4946042906238,30.31114393627064,2898772.032896517,1702.5780548616608
796.6049374312222,14.451569332439506,989250.2629346369,994.6106086980155
637.2161642125322,10.954344104907449,476885.71309337235,690.5691226035033
189.62136824699837,3.010005108907555,49803.276683087686,223.1664775074601
1409.469744521137,16.681231309646353,3862529.8205638705,1965.3319873659693
2289.4910074533295,23.572286989347894,8056675.024976663,2838.4282666603826
3793.8380661923397,30.741036631852104,23026773.589502748,4798.622051120795
6243.958863754031,44.80484678651793,48940416.60695735,6995.742748769237
5423.630785190603,32.458545940213114,40261437.75134437,6345.190127281007
7514.710336068648,45.487099663409595,58190057.027731225,7628.240755753008
2637.7391720085207,15.007727037726315,8087254.936554294,2843.8099332680963
2858.592088111886,14.2135708451678,12730945.575320866,3568.045063521601
2881.7024566182554,13.336922042993052,12316406.31837349,3509.473795082888
7825.197064184473,35.99149944859443,65842341.12243167,8114.329369851317
5529.460947101785,24.72093280967534,31108562.15772123,5577.505011895662
1164.8381124837706,5.082425705757909,3055518.5670508067,1748.0041667715802
