MAE,MAPE,MSE,RMSE
29.386372507263616,33.90029116142729,912.7785423142798,30.21222504739232
16.45363315568361,21.733991195001163,317.03722586984406,17.805539190651995
22.67966348131033,39.851273388035594,778.2195880712172,27.89658739113473
29.047366095422575,58.03083294746318,1038.4225867348514,32.224564958038634
13.297058174358085,28.29320809348385,206.98666087415708,14.387030995801638
5.800515333322762,14.322152575118285,53.593125374374296,7.320732570882117
17.395914268008745,41.28679580577227,339.09687068939223,18.41458309844109
4.51645023943019,11.277034357456147,35.99112080210817,5.99926002121163
4.395598465604602,9.277186261943292,25.49682455439746,5.049438043425967
11.747900150538557,26.008821986660358,198.50426951884734,14.089154322344806
10.055799429399828,21.3011484186089,141.90961045380303,11.912582022962235
12.275484523923177,24.0570525307083,185.02749123339623,13.60248106903282
12.058742297717181,21.167548781596533,171.74856595158664,13.105287709607396
14.480111244479977,19.88790329690719,280.06455749531534,16.735129443637874
10.576942808971516,12.784385562551549,153.5249020888317,12.390516619125762
27.112143315639287,27.966706760358285,1097.4708073177578,33.128096946817784
35.69103030066718,28.179859444502718,1912.344938602053,43.73036632137962
42.54227941318876,34.1707474846124,2773.1131128315105,52.66035617835784
53.72893929877115,37.76296972936852,4161.493179820077,64.50963633303226
44.26040748201262,35.02946228026866,2714.218621662105,52.098163323308285
71.36287750951384,58.40554921834629,6801.554402111449,82.47153692099747
130.72429988116738,59.26289070575693,23986.3703394852,154.87533806092304
67.09298867591912,28.30601914477453,6444.174319534181,80.27561472535842
137.79386969143133,59.79576471374294,19141.64211399085,138.35332346565025
96.15652829833562,46.24569988407668,10576.453376278192,102.84188532051614
32.36930203761058,18.397504577825053,1423.4178558630206,37.728210345350604
