MAE,MAPE,MSE,RMSE
1296.2807925505344,17.441883879644397,2060123.5985363713,1435.3130663852996
957.8466068952134,13.103285388913545,936537.9844949698,967.7489263724191
290.6140866883161,4.063176640139533,206129.09443211943,454.0144209517132
194.23673755036316,3.1997018482894877,75256.71726987779,274.32957782542843
1138.7829300841042,19.255470008053177,1338550.1045012183,1156.9572613114187
445.9656271538945,7.976238657245621,248015.2542256076,498.011299295114
544.8680355879283,9.957437498692345,392441.982681877,626.4518997352286
625.884343299788,11.790381885057165,440344.5506943687,663.5846221051003
586.1991420354946,11.113804753937153,391883.8973958236,626.0063077923605
1511.8764452381197,30.111610295932532,2857358.319583418,1690.3722429049224
1703.237432164016,33.09047524762225,3353351.3956450997,1831.2158244306158
436.48163391979165,8.056403445487497,277030.965468354,526.337311491741
407.74314130326707,6.5752813463954745,267329.40627060377,517.039076154408
976.8817477570603,14.011656516664406,1362924.7823776416,1167.443695592058
1313.8907060001368,15.422704198758375,3107561.9125263058,1762.8278170389488
2464.7357563077658,26.31831459908596,7853564.289638691,2802.421147800361
4159.187017710248,34.44328431448834,25722021.472188912,5071.688227029429
6302.183813747795,45.228868953805176,49807765.387173556,7057.461681594421
6546.888662282138,38.70807528874889,61680622.414288566,7853.701192067888
8316.131687434194,50.32379891568183,72161382.0702562,8494.785581181917
1582.826288984742,9.220960429098076,2644521.0276220795,1626.1983358809832
2905.7658947574473,14.432086631334546,13246002.928626832,3639.5058632494097
2989.660382844855,13.74538214123141,13532395.997471051,3678.640509409835
9331.45958801445,42.831326065183866,94762703.39371836,9734.613674600465
5622.843349297535,25.13754465862593,32214785.360427782,5675.807022831888
1768.3150103046992,7.784917634612285,4038482.6613889853,2009.5976366897394
