MAE,MAPE,MSE,RMSE
542.8209098083112,35.13161126602291,378546.6542399584,615.2614519372706
399.5039939915641,24.41385347109483,250481.3960681809,500.48116454885786
452.85063069430447,37.870510303772804,232905.1120967595,482.6024368947586
152.7904651130529,15.717557129244117,39909.51084608614,199.7736490283094
143.3954897605386,13.184093517493709,28815.853383372756,169.7523295373962
322.49568214627516,41.913290518412595,128745.38384257408,358.8110698439697
87.79910365257854,12.467871202113663,9892.487747577568,99.46098605773808
95.72468985425138,15.066171121429822,13086.203638729503,114.39494586182339
159.41966637623693,24.34803492232948,27972.23661394984,167.24902574888094
145.62372943502314,26.175228274814224,32060.18359566936,179.05357744448827
124.18951752817827,21.846072951126377,19990.469045704274,141.3876552097257
83.8398377876172,14.701583597532833,9147.095571402224,95.64044945211322
267.6896230077587,46.56107561557635,78996.37078918132,281.0629303006381
131.79816224972066,18.658927430190296,26781.370334102543,163.65014614751354
163.73692306737567,20.019558815476937,38819.319517138836,197.02618992697097
182.68863414253687,21.17971378675004,81416.13354151222,285.3351249697664
111.24260261915714,12.334745731325633,30666.42603794895,175.11832010943044
231.35492962327422,19.682898046107606,88841.97913056903,298.0637165616926
206.360583894536,17.411790314303122,56171.619624607425,237.00552656975623
486.9861482421586,39.11686889054988,246076.8948052417,496.0613820942341
248.93841165297448,18.99353649511932,88276.49694207418,297.11360948646256
443.1237929410958,27.305456461514517,338515.4537099059,581.8208089351101
513.0266104116484,26.843102507137058,458675.52820726624,677.2558808952981
979.96449283824,48.34744476192236,1153321.2357738419,1073.9279471984337
996.4333849616568,46.4008505940633,1049811.367871691,1024.6030294078244
668.5863104902946,29.98717046377952,484502.54852420586,696.0621728870244
