MAE,MAPE,MSE,RMSE
201.0414263477207,51.89882483748616,46362.08833432208,215.31857405788773
121.36068659215263,28.843260193001452,18333.59871182709,135.4016200487538
136.55803730866,30.223454326226083,21122.59314110869,145.3361384553363
102.52234079196899,22.28384498493179,12271.69681877753,110.77769097962607
76.66677017451954,22.500184819594963,11289.568106806855,106.2523792995096
60.07540457945966,15.273182870262744,4567.1497974743925,67.58069101063109
90.47255615172615,28.447591569253238,9752.638804595243,98.75544949315578
69.86551056788548,25.502333448607768,6111.753501701912,78.17770463311079
54.56480102494076,18.164988715091926,4318.692985922123,65.71676335549495
53.98041283528194,23.615014662515126,3694.634415252076,60.783504466689614
39.20417691008755,17.1704259271019,1841.185636301033,42.90903909785248
19.863810581620648,9.187510222412538,517.3065236251646,22.744373449826323
143.77030538320312,29.24113325613591,61890.722375915924,248.77846043400928
194.68940652592772,45.483959976258404,74424.80914332265,272.80910751535157
163.40400508220276,35.32305321929164,61029.97877062447,247.04246349691476
212.0551569855905,51.6935290331364,73398.30054745071,270.9212072678156
460.4715579258509,170.92584796844767,218224.79632937038,467.1453695899922
40.95434364229467,12.984220645430428,3083.2005684464257,55.526575335117016
98.53467470588969,32.30126380300126,10432.169589215107,102.13799287833645
51.607208097878825,16.7677785314458,3711.652825817641,60.92333564257329
123.22422175651515,41.77320899848609,18636.176977611118,136.51438377552424
82.1546852813907,19.42573042456234,16165.671761650125,127.1442950416971
206.6789648084534,32.41367057763293,92550.93275690285,304.22184792828875
367.99983140746565,48.80794411701383,196673.60954402603,443.4789843318689
572.7591443557592,68.307580414263,366140.6005575443,605.095530108713
483.4179188208837,53.09086854551328,236422.72580273007,486.23320104938335
