MAE,MAPE,MSE,RMSE
44.96190992057845,45.54769712704091,2488.7304808670374,49.887177519549425
44.227079504696945,45.362518517322094,2381.5026894336115,48.8006423055436
23.07927222847554,22.820895174765017,708.5627997969146,26.61884294624608
26.23763018328013,26.069365155155833,839.7576106876487,28.97857157776499
95.22987499825281,103.51866613263554,9265.194333651722,96.25587947575838
52.12235917201716,56.45984827356614,2910.8342597560836,53.952147869719546
36.914622046860835,39.291804217933965,1845.8889487881781,42.96380975644709
28.363230447904016,30.169902796224836,995.9238556487495,31.558261290013263
25.932284045593526,18.529034642234585,1189.3020305423026,34.48625857558779
19.1130138903981,17.429583307018337,650.9937093797222,25.51457836962473
48.94794900471736,42.657142332179745,3080.3585719282664,55.50097811686084
27.882604548714276,15.982182808821186,1623.2549419909221,40.28963814668633
17.417483818541065,11.522382468814238,394.55863861472506,19.86350016021157
44.08164019469318,20.212562359424236,2841.9642886102656,53.31007680176671
94.74311848332042,24.60290819089803,22401.710834781195,149.67201085968344
182.45948534410172,42.41507825221766,51897.36659848918,227.80993524973658
340.5427075647227,52.02202577162245,184930.23298826156,430.03515320059773
499.4532226983025,56.743742782836456,355935.6579991475,596.6034344513511
542.7652511131032,48.590135519248975,396862.57329001534,629.9702955616362
742.4388585108986,63.57389872176184,575352.7616277185,758.5201128696051
398.0451218973629,31.38895193625682,171043.4581145069,413.57400560783185
248.94181880749454,17.994442453744604,81859.42444818039,286.1108604163435
106.41874689308491,7.842676760136261,14816.405340382571,121.7226574651678
568.9786034676647,40.44450857174796,334894.42448972806,578.7006346028386
204.0781239391414,14.727393753957694,51763.06290066306,227.5149729153294
297.87516694817236,30.93867386113489,130250.5948187417,360.9024727246153
