wk1,wk2,wk3,wk4
74,97,92,80
97,92,80,54
92,80,54,54
80,54,54,43
54,54,43,36
54,43,36,48
43,36,48,48
36,48,48,49
48,48,49,45
48,49,45,43
49,45,43,66
45,43,66,68
43,66,68,66
66,68,66,82
68,66,82,102
66,82,102,119
82,102,119,153
102,119,153,74
119,153,74,163
153,74,163,80
74,163,80,277
163,80,277,237
80,277,237,205
277,237,205,211
237,205,211,171
205,211,171,164
