wk1,wk2,wk3,wk4
1921,1487,1215,1290
1487,1215,1290,1068
1215,1290,1068,886
1290,1068,886,756
1068,886,756,694
886,756,694,664
756,694,664,584
694,664,584,637
664,584,637,515
584,637,515,491
637,515,491,574
515,491,574,701
491,574,701,794
574,701,794,966
701,794,966,881
794,966,881,1223
966,881,1223,1189
881,1223,1189,1378
1223,1189,1378,1155
1189,1378,1155,1367
1378,1155,1367,1871
1155,1367,1871,2115
1367,1871,2115,2297
1871,2115,2297,2199
2115,2297,2199,2258
