wk1,wk2,wk3,2k4
882,1245,1087,1236
1245,1087,1236,929
1087,1236,929,831
1236,929,831,706
929,831,706,789
831,706,789,687
706,789,687,735
789,687,735,606
687,735,606,558
735,606,558,731
606,558,731,500
558,731,500,344
731,500,344,339
500,344,339,389
344,339,389,441
339,389,441,512
389,441,512,642
441,512,642,701
512,642,701,688
642,701,688,662
701,688,662,755
688,662,755,914
662,755,914,1200
755,914,1200,1160
914,1200,1160,1196
1200,1160,1196,1239
