wk1,wk2,wk3,2k4
206,234,258,223
234,258,223,257
258,223,257,217
223,257,217,131
257,217,131,167
217,131,167,140
131,167,140,102
167,140,102,101
140,102,101,90
102,101,90,92
101,90,92,93
90,92,93,99
92,93,99,97
93,99,97,105
99,97,105,112
97,105,112,158
105,112,158,157
112,158,157,219
158,157,219,227
157,219,227,278
219,227,278,216
227,278,216,345
278,216,345,247
216,345,247,403
345,247,403,318
247,403,318,275
