wk1,wk2,wk3,2k4
325,331,361,483
331,361,483,423
361,483,423,484
483,423,484,401
423,484,401,310
484,401,310,312
401,310,312,315
310,312,315,219
312,315,219,260
315,219,260,214
219,260,214,201
260,214,201,171
214,201,171,668
201,171,668,309
171,668,309,223
668,309,223,245
309,223,245,369
223,245,369,282
245,369,282,306
369,282,306,304
282,306,304,275
306,304,275,497
304,275,497,834
275,497,834,955
497,834,955,950
834,955,950,894
