wk1,wk2,wk3,2k4
109,95,91,141
95,91,141,104
91,141,104,101
141,104,101,94
104,101,94,79
101,94,79,111
94,79,111,143
79,111,143,97
111,143,97,144
143,97,144,118
97,144,118,194
144,118,194,164
118,194,164,201
194,164,201,251
164,201,251,523
201,251,523,459
251,523,459,957
523,459,957,1180
459,957,1180,1383
957,1180,1383,1104
1180,1383,1104,1321
1383,1104,1321,1447
1104,1321,1447,1517
1321,1447,1517,1311
1447,1517,1311,1108
1517,1311,1108,791
