wk1,wk2,wk3,2k4
106,111,140,97
111,140,97,146
140,97,146,134
97,146,134,168
146,134,168,142
134,168,142,145
168,142,145,160
142,145,160,191
145,160,191,198
160,191,198,231
191,198,231,299
198,231,299,289
231,299,289,448
299,289,448,600
289,448,600,864
448,600,864,886
600,864,886,1179
864,886,1179,1215
886,1179,1215,1094
1179,1215,1094,898
1215,1094,898,993
1094,898,993,993
898,993,993,810
993,993,810,625
993,810,625,568
810,625,568,463
