date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,people_total,people_total_2nd_dose,smoothed_covid_vaccinated,smoothed_tested_positive_14d,smoothed_wearing_mask,smoothed_travel_outside_state_5d,smoothed_spent_time_1d,kinsa_cases,covidnet,positiveIncrease,negativeIncrease,totalTestResultsIncrease,onVentilatorCurrently,inIcuCurrently,recovered,hospitalizedIncrease,Observed Number,Excess Higher Estimate,death_jhu_incidence,fb_survey_cli,google_survey_cli,fb_survey_wili,Number of Facilities Reporting,CLI Percent of Total Visits,target_death,target_hosp
8/30/20,202036,X,US,-16.0,-5.0,50.0,-23.0,-15.0,3.0,157.51,3620.0,6412.6272,4936.5368,5898.9557,4415.0242,6286.6852,4909.2438,7018.945,5556.2894,8001.5216,6596.4011,5914.4891,4528.3348,6359.5243,4965.4476,7174.2452,5666.7112,7774.1351,6204.6029,6942.5744,5508.965,6223.0438,4635.7732,6985.8424,5525.8219,6734.7097,5328.0083,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,38766,371775,842110,2055,7268,13241,1976.0547,180319.3333,27074.0,443,0.0013776429999999998,0.0,0.001610447,3733.0,2.2,443,3620.0
8/31/20,202036,X,US,-16.0,-7.0,32.0,-33.0,-36.0,10.0,124.19,3674.0,9119.3554,7249.0126,8502.4331,6550.6373,9029.7144,7227.7923,10073.9699,8170.0585,11489.4675,9744.39,8406.4586,6603.8859999999995,9110.2443,7289.0441,10307.2012,8348.5822,11165.6021,9160.2958,10120.4042,8286.7778,8869.3023,6826.0659,9970.4067,8111.2588,9639.4882,7817.4628,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,31720,328080,704847,2075,7047,30669,2032.0547,180319.3333,27074.0,539,0.0015293729999999999,0.0,0.001724917,3733.0,2.2,539,3674.0
9/1/20,202036,X,US,-15.0,-4.0,37.0,-33.0,-37.0,10.0,128.51,4236.0,6055.0783,4685.6419,5590.0207,4200.1601,5865.7989,4583.312,6597.8242,5242.2368,7639.8640000000005,6328.4631,5503.2919999999995,4210.3064,5939.109,4641.7202,6740.9719,5355.633000000001,7435.9589,5979.4709,6758.8723,5388.2977,5879.7067,4402.3334,6755.0227,5357.0539,6309.6488,5010.2501,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,42242,311048,816070,2041,7084,18435,3178.0547,180319.3333,27074.0,1050,0.001468157,0.0,0.001695111,3733.0,2.2,1050,4236.0
9/2/20,202036,X,US,-14.0,-5.0,42.0,-32.0,-35.0,10.0,130.7,4314.0,4700.9278,3589.5158,4355.3118,3227.1262,4535.4558,3510.1438,5082.0153,4008.3091,5838.5453,4787.1667,4269.0201,3231.0447,4590.1068,3550.1743,5204.5831,4100.6461,5741.1624,4574.1842,5125.4006,4039.1625,4643.6375,3423.4691,5177.2367,4046.2733,4869.7224,3835.742,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,30655,331571,791209,2027,7091,28696,2902.0547,180319.3333,27074.0,1045,0.001609191,0.0,0.001882484,3733.0,2.2,1045,4314.0
9/3/20,202036,X,US,-16.0,-6.0,41.0,-32.0,-36.0,10.0,132.61,4071.0,4652.465999999999,3524.1774,4302.2435,3150.3625,4496.3605,3448.0651,5038.4641,3934.6929999999998,5724.4456,4649.4617,4235.0042,3168.3917,4535.187,3482.5791,5167.2867,4030.3012,5620.0058,4441.9426,5043.3875,3930.7996,4558.6016,3318.5475,5076.1636,3914.8909999999996,4810.4575,3760.4931,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,44643,386962,907016,2038,6923,35695,2784.0547,180319.3333,27074.0,1058,0.001521154,0.0,0.0017835470000000001,3733.0,2.2,1058,4071.0
9/4/20,202036,X,US,-17.0,-8.0,37.0,-30.0,-35.0,9.0,135.13,4575.0,4660.0626,3551.6283,4295.6229,3157.6863,4489.4611,3465.172,5039.1485,3957.8869,5752.2827,4700.414000000001,4212.8194,3165.4318,4539.7997,3498.8777,5165.4771,4054.3128,5657.2862,4495.6888,5043.7325,3948.7959,4570.9877,3339.8127,5094.6369,3944.3529,4814.9615,3782.9986,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,51600,522071,1089890,1998,6922,16275,2543.0547,180319.3333,27074.0,960,0.001247071,0.0,0.001664198,3733.0,2.2,960,4575.0
9/5/20,202036,X,US,-17.0,-4.0,49.0,-23.0,-13.0,4.0,156.49,4479.0,4828.952,3700.3584,4457.1487,3293.1781,4626.3989,3586.1227,5226.0495,4124.6025,6005.314,4935.0773,4346.788,3293.2694,4724.0335,3660.8601,5352.0246,4211.6926,5869.7475,4686.3765,5228.2566,4111.9755,4790.7697,3517.2199,5313.4777,4143.8005,4988.8397,3938.4742,0,0,0.0,0.0,0.0,0.0,0.0,0,4.4,44860,379522,965735,1956,6766,19232,2491.0547,180319.3333,27074.0,774,0.0013666720000000002,0.0,0.00164501,3733.0,2.2,774,4479.0
9/6/20,202037,X,US,-15.0,-6.0,59.0,-22.0,-15.0,2.0,149.24,3822.0,5468.3526,4186.5795,5097.7357,3761.5242,5347.0346,4141.3683,5943.2351,4691.1452,6679.9369,5483.1308,5040.4234,3814.1043,5412.3133,4200.3061,6081.7285,4783.3506,6498.0091,5176.9399,5834.8242,4584.6564,5366.4874,3935.5957,6000.1494,4678.8602,5682.68,4482.3214,0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,33033,315811,759445,1912,6700,13743,1714.1155,176501.3333,23207.33333,413,0.0012925880000000001,0.0,0.001488022,3729.0,2.0,413,3822.0
9/7/20,202037,X,US,-15.0,-7.0,30.0,-32.0,-35.0,9.0,121.1,3830.0,9107.2725,7134.9027,8356.3718,6323.7668,8890.8811,7036.8349,9999.1993,8043.2245,11380.2273,9571.4176,8314.6478,6432.6253,9015.2011,7131.419,10232.605,8219.8526,11054.7781,8999.2998,9989.0259,8071.2552,8740.7619,6616.9429,9889.5711,7919.7764,9562.8442,7695.3025,0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,28117,304950,655224,1879,6630,17516,1685.1155,176501.3333,23207.33333,286,0.0013200339999999999,0.0,0.001651294,3729.0,2.0,286,3830.0
9/8/20,202037,X,US,-12.0,-2.0,36.0,-31.0,-36.0,9.0,125.67,4023.0,5918.7153,4666.4338,5458.6584,4139.0861,5757.8708,4555.213,6449.8568,5203.2447,7433.7717,6221.2411,5350.8924,4141.0854,5816.5925,4599.9444,6630.8924,5337.0184,7247.6325,5904.0106,6619.8526,5323.4047,5811.6978,4390.0896,6612.8122,5279.1006,6153.6297,4958.361,0,0,0.0,0.0,0.0,0.0,0.0,0,4.0,22310,243774,581229,1881,6543,26184,2150.1155,176501.3333,23207.33333,454,0.002884036,0.0,0.003474226,3729.0,2.0,454,4023.0
